Statistics	EXPERIMENT_1_T_AU_031_1	EXPERIMENT_1_T_AU_031_2	EXPERIMENT_1_T_B1	EXPERIMENT_1_T_B2	EXPERIMENT_1_T_CH_001_1	EXPERIMENT_1_T_CH_001_2	EXPERIMENT_1_T_DE_001_1	EXPERIMENT_1_T_DE_001_2	EXPERIMENT_1_T_ES_004_1	EXPERIMENT_1_T_ES_004_2	EXPERIMENT_1_T_FR_072_1	EXPERIMENT_1_T_FR_072_2	EXPERIMENT_1_T_FR_083_1	EXPERIMENT_1_T_FR_083_2	EXPERIMENT_1_T_FR_123_1	EXPERIMENT_1_T_FR_123_2	EXPERIMENT_1_T_G1	EXPERIMENT_1_T_G2	EXPERIMENT_1_T_GB_003_1	EXPERIMENT_1_T_GB_003_2	EXPERIMENT_1_T_GB_093_1	EXPERIMENT_1_T_GB_093_2	EXPERIMENT_1_T_HU_012_1	EXPERIMENT_1_T_HU_012_2	EXPERIMENT_1_T_IN_030_1	EXPERIMENT_1_T_IN_030_2	EXPERIMENT_1_T_IT_048_1	EXPERIMENT_1_T_IT_048_2	EXPERIMENT_1_T_JP_002_1	EXPERIMENT_1_T_JP_002_2	EXPERIMENT_1_T_KE_008_A1	EXPERIMENT_1_T_KE_008_A2	EXPERIMENT_1_T_KE_008_A3	EXPERIMENT_1_T_KE_008_A4	EXPERIMENT_1_T_KE_008_B1	EXPERIMENT_1_T_KE_008_B2	EXPERIMENT_1_T_KE_008_B3	EXPERIMENT_1_T_KE_008_B4	EXPERIMENT_1_T_KE_008_C1	EXPERIMENT_1_T_KE_008_C2	EXPERIMENT_1_T_KE_008_C3	EXPERIMENT_1_T_KE_008_C4	EXPERIMENT_1_T_MG_002_1	EXPERIMENT_1_T_MG_002_2	EXPERIMENT_1_T_Neg_PCRI_1	EXPERIMENT_1_T_Neg_PCRI_2	EXPERIMENT_1_T_NO_385_1	EXPERIMENT_1_T_NO_385_2	EXPERIMENT_1_T_NO_386_1	EXPERIMENT_1_T_NO_386_2	EXPERIMENT_1_T_NZ_030_1	EXPERIMENT_1_T_NZ_030_2	EXPERIMENT_1_T_PL_010_A1	EXPERIMENT_1_T_PL_010_A2	EXPERIMENT_1_T_PL_010_A3	EXPERIMENT_1_T_PL_010_A4	EXPERIMENT_1_T_PL_010_B1	EXPERIMENT_1_T_PL_010_B2	EXPERIMENT_1_T_PL_010_B3	EXPERIMENT_1_T_PL_010_B4	EXPERIMENT_1_T_PL_010_C1	EXPERIMENT_1_T_PL_010_C2	EXPERIMENT_1_T_PL_010_C3	EXPERIMENT_1_T_PL_010_C4	EXPERIMENT_1_T_PL_014_1	EXPERIMENT_1_T_PL_014_2	EXPERIMENT_1_T_PL_015_A1	EXPERIMENT_1_T_PL_015_A2	EXPERIMENT_1_T_PL_015_A3	EXPERIMENT_1_T_PL_015_A4	EXPERIMENT_1_T_PL_015_B1	EXPERIMENT_1_T_PL_015_B2	EXPERIMENT_1_T_PL_015_B3	EXPERIMENT_1_T_PL_015_B4	EXPERIMENT_1_T_PL_015_C1	EXPERIMENT_1_T_PL_015_C2	EXPERIMENT_1_T_PL_015_C3	EXPERIMENT_1_T_PL_015_C4	EXPERIMENT_1_T_PL_016_1	EXPERIMENT_1_T_PL_016_2	EXPERIMENT_1_T_PL_018_1	EXPERIMENT_1_T_PL_018_2	EXPERIMENT_1_T_PL_110_1	EXPERIMENT_1_T_PL_110_2	EXPERIMENT_1_T_PL_247_1	EXPERIMENT_1_T_PL_247_2	EXPERIMENT_1_T_PL_318_1	EXPERIMENT_1_T_PL_318_2	EXPERIMENT_1_T_PT_006_1	EXPERIMENT_1_T_PT_006_2	EXPERIMENT_1_T_PT_008_1	EXPERIMENT_1_T_PT_008_2	EXPERIMENT_1_T_PT_035_1	EXPERIMENT_1_T_PT_035_2	EXPERIMENT_1_T_PT_056_1	EXPERIMENT_1_T_PT_056_2	EXPERIMENT_1_T_r1	EXPERIMENT_1_T_r2	EXPERIMENT_1_T_RU_017_1	EXPERIMENT_1_T_RU_017_2	EXPERIMENT_1_T_SK_003_1	EXPERIMENT_1_T_SK_003_2	EXPERIMENT_1_T_VN_036_1	EXPERIMENT_1_T_VN_036_2	EXPERIMENT_1_TZ_blank_LB_Z	EXPERIMENT_1_TZ_G1_Z	EXPERIMENT_1_TZ_G2_Z	EXPERIMENT_1_TZ_KE_008_A1	EXPERIMENT_1_TZ_KE_008_A2	EXPERIMENT_1_TZ_KE_008_A3	EXPERIMENT_1_TZ_KE_008_A4	EXPERIMENT_1_TZ_KE_008_B1	EXPERIMENT_1_TZ_KE_008_B2	EXPERIMENT_1_TZ_KE_008_B3	EXPERIMENT_1_TZ_KE_008_B4	EXPERIMENT_1_TZ_KE_008_C1	EXPERIMENT_1_TZ_KE_008_C2	EXPERIMENT_1_TZ_KE_008_C3	EXPERIMENT_1_TZ_KE_008_C4	EXPERIMENT_1_TZ_Neg_PCRI	EXPERIMENT_1_TZ_PL_010_A1	EXPERIMENT_1_TZ_PL_010_A2	EXPERIMENT_1_TZ_PL_010_A3	EXPERIMENT_1_TZ_PL_010_A4	EXPERIMENT_1_TZ_PL_010_B1	EXPERIMENT_1_TZ_PL_010_B2	EXPERIMENT_1_TZ_PL_010_B3	EXPERIMENT_1_TZ_PL_010_B4	EXPERIMENT_1_TZ_PL_010_C1	EXPERIMENT_1_TZ_PL_010_C2	EXPERIMENT_1_TZ_PL_010_C3	EXPERIMENT_1_TZ_PL_010_C4	EXPERIMENT_1_TZ_PL_015_A1	EXPERIMENT_1_TZ_PL_015_A2	EXPERIMENT_1_TZ_PL_015_A3	EXPERIMENT_1_TZ_PL_015_A4	EXPERIMENT_1_TZ_PL_015_B1	EXPERIMENT_1_TZ_PL_015_B2	EXPERIMENT_1_TZ_PL_015_B3	EXPERIMENT_1_TZ_PL_015_B4	EXPERIMENT_1_TZ_PL_015_C1	EXPERIMENT_1_TZ_PL_015_C2	EXPERIMENT_1_TZ_PL_015_C3	EXPERIMENT_1_TZ_PL_015_C4	EXPERIMENT_1_TZ_r1_Z	EXPERIMENT_1_TZ_r2_Z
Symbionts_reads	1841	5645	21	1	2979	8271	8157	7493	6096	11417	290	5031	1973	38594	929	1961	112	128	40	1919	22	694	2593	2	2530	5748	7313	10842	5495	6178	12020	8098	3494	6522	3115	3730	5008	3023	3841	418	6173	10974	4658	6440	0	0	1323	13430	2785	7358	5159	10290	2382	487	2813	11551	646	2305	2577	12320	11941	3036	2051	3107	216	4579	36	12	11	77	10	70	11	64	1017	3396	797	2821	1014	8762	974	3981	2073	1003	1357	17410	14622	5286	17678	11462	11180	5425	2168	4579	47026	11696	30	106	1	866	4068	3934	5	61	3	111	48	756	540	272	9290	2933	2027	16864	10137	157	193	48	12330	2	309	284	947	2217	1619	603	1212	6650	4436	4057	1463	7484	3005	2173	196	2654	422	679	2687	1866	60	95	48	2716	1305	1099
Others_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbionts and Other_reads	1841	5645	21	1	2979	8271	8157	7493	6096	11417	290	5031	1973	38594	929	1961	112	128	40	1919	22	694	2593	2	2530	5748	7313	10842	5495	6178	12020	8098	3494	6522	3115	3730	5008	3023	3841	418	6173	10974	4658	6440	0	0	1323	13430	2785	7358	5159	10290	2382	487	2813	11551	646	2305	2577	12320	11941	3036	2051	3107	216	4579	36	12	11	77	10	70	11	64	1017	3396	797	2821	1014	8762	974	3981	2073	1003	1357	17410	14622	5286	17678	11462	11180	5425	2168	4579	47026	11696	30	106	1	866	4068	3934	5	61	3	111	48	756	540	272	9290	2933	2027	16864	10137	157	193	48	12330	2	309	284	947	2217	1619	603	1212	6650	4436	4057	1463	7484	3005	2173	196	2654	422	679	2687	1866	60	95	48	2716	1305	1099
PCR_Contaminants_reads	723	985	1178	880	959	916	502	569	3070	2510	604	245	1045	716	1258	467	10	11	196	171	30	29	2257	0	1465	517	3256	1233	2036	531	118	1605	1063	255	1489	518	2631	1014	1175	429	1366	16	1749	1021	352	1005	2479	1114	1163	1786	1564	509	1716	1810	2761	812	929	2199	1144	578	877	1935	1772	364	813	1455	156	103	15	40	61	414	100	30	1368	3975	2013	1546	1148	1465	1895	1041	1503	709	1284	531	875	745	737	706	1153	1569	2292	1273	320	627	191	19	4	50	1147	1759	6	14	238	74	39	257	306	214	121	275	260	321	388	117	107	28	228	536	184	114	119	88	369	405	328	164	479	614	464	183	398	400	463	305	530	348	1240	195	70	66	179	130	103	74
Extraction_Contaminants_reads	90	0	267	290	0	0	21	17	44	91	16	59	27	23	13	21	64	138	0	0	0	0	85	0	30	0	164	26	39	31	38	272	113	12	20	12	131	29	50	1	31	6	51	17	0	0	216	55	281	23	131	88	146	28	110	25	47	176	275	1	100	537	148	6	0	9	3	4	0	0	3	13	0	1	15	201	49	0	53	0	13	6	22	0	115	0	194	56	320	17	101	16	57	10	0	11	0	5	0	0	24	0	0	0	38	386	234	5	13	14	26	29	29	114	31	3	4	6	20	0	11	26	22	4	56	50	8	14	105	62	33	18	64	33	52	26	38	24	101	17	7	6	15	9	11	19
PCR_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extraction_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_reads	0	237	0	0	61	296	4	556	60	855	27	1766	0	852	0	166	9936	14867	0	42	0	30	138	1	66	103	0	124	0	329	0	57	25	70	84	190	41	398	45	0	0	147	19	107	0	0	54	1285	95	370	0	280	20	0	1	887	0	0	19	195	105	0	0	436	0	47	3	0	0	1	0	0	0	1	0	0	0	0	0	378	0	120	51	159	0	504	181	201	345	321	21	274	192	346	22	349	68	101	0	40	0	708	0	13	0	16099	10583	20	2	3	471	218	225	93	339	0	0	0	601	0	5	19	33	82	32	6	15	118	117	6	17	124	73	65	0	70	2	16	1	35	2	1	2	89	1611	1234
Rotifers reads	136	3504	0	0	98	2206	14	4966	173	5217	746	22369	74	1874	652	1423	7	10	2	64	0	299	239	5	30	1468	193	2440	220	5306	443	368	105	639	361	292	758	4125	287	27	249	279	1211	4862	0	0	323	20308	769	4802	2108	7943	53	43	62	5247	73	0	33	2379	125	66	134	905	0	2775	0	0	0	5	0	0	0	0	0	0	0	237	55	3427	53	2885	115	1465	31	2332	85	985	266	1419	75	5457	218	2275	64	3458	2241	5066	0	436	34	5072	0	89	0	311	199	75	79	53	1631	217	109	185	1556	12	21	5	1531	0	26	34	96	428	253	84	87	971	256	132	46	550	137	328	30	845	60	70	109	173	6	13	7	288	29531	19663
Total_reads_per_library	2790	10371	1466	1171	4097	11689	8698	13601	9443	20090	1683	29470	3119	42059	2852	4038	10129	15154	238	2196	52	1052	5312	8	4121	7836	10926	14665	7790	12375	12619	10400	4800	7498	5069	4742	8569	8589	5398	875	7819	11422	7688	12447	352	1005	4395	36192	5093	14339	8962	19110	4317	2368	5747	18522	1695	4680	4048	15473	13148	5574	4105	4818	1029	8865	198	119	26	123	74	497	111	96	2400	7572	2859	4604	2270	14032	2935	8033	3764	3336	2787	20777	15957	7273	19346	13925	12530	12741	4927	8483	47432	16141	2530	5297	5	1392	5273	11473	11	177	279	16981	11103	1113	940	556	11539	3672	2650	17577	12451	289	325	87	14710	538	535	477	1217	2819	2329	1148	1650	7917	5393	4871	2023	8359	3677	2999	741	3900	1052	1137	4138	2286	145	181	251	3232	32561	22089
