	16S-V4	COI-BF3BR2	Unclassified	
EXPERIMENT_1_T_AU_031_1	3023	50	2246	
EXPERIMENT_1_T_AU_031_2	11415	38	8389	
EXPERIMENT_1_T_B1	1789	2	1258	
EXPERIMENT_1_T_B2	1384	0	1098	
EXPERIMENT_1_T_CH_001_1	4506	66	3394	
EXPERIMENT_1_T_CH_001_2	12967	4	9186	
EXPERIMENT_1_T_DE_001_1	9243	66	6374	
EXPERIMENT_1_T_DE_001_2	15451	1	11019	
EXPERIMENT_1_T_ES_004_1	10468	261	8054	
EXPERIMENT_1_T_ES_004_2	22898	5	16862	
EXPERIMENT_1_T_FR_072_1	1932	135	1645	
EXPERIMENT_1_T_FR_072_2	34170	3	23837	
EXPERIMENT_1_T_FR_083_1	3414	0	2475	
EXPERIMENT_1_T_FR_083_2	45396	10	32430	
EXPERIMENT_1_T_FR_123_1	3148	3	2237	
EXPERIMENT_1_T_FR_123_2	4832	8	3505	
EXPERIMENT_1_T_G1	12387	1	8387	
EXPERIMENT_1_T_G2	17609	1	11897	
EXPERIMENT_1_T_GB_003_1	296	1	199	
EXPERIMENT_1_T_GB_003_2	2417	0	1696	
EXPERIMENT_1_T_GB_093_1	58	0	50	
EXPERIMENT_1_T_GB_093_2	1212	5	879	
EXPERIMENT_1_T_HU_012_1	5780	692	5122	
EXPERIMENT_1_T_HU_012_2	8	0	11	
EXPERIMENT_1_T_IN_030_1	4700	518	4163	
EXPERIMENT_1_T_IN_030_2	8468	0	6045	
EXPERIMENT_1_T_IT_048_1	12030	8	8431	
EXPERIMENT_1_T_IT_048_2	19822	111	14187	
EXPERIMENT_1_T_JP_002_1	8645	26	6130	
EXPERIMENT_1_T_JP_002_2	13683	4	10018	
EXPERIMENT_1_T_KE_008_A1	13261	1	9567	
EXPERIMENT_1_T_KE_008_A2	11151	1	7820	
EXPERIMENT_1_T_KE_008_A3	5165	5	3669	
EXPERIMENT_1_T_KE_008_A4	8377	0	5947	
EXPERIMENT_1_T_KE_008_B1	5398	24	3722	
EXPERIMENT_1_T_KE_008_B2	5202	16	3813	
EXPERIMENT_1_T_KE_008_B3	10023	58	7081	
EXPERIMENT_1_T_KE_008_B4	10066	7	7217	
EXPERIMENT_1_T_KE_008_C1	5778	3	4143	
EXPERIMENT_1_T_KE_008_C2	946	1	688	
EXPERIMENT_1_T_KE_008_C3	8368	33	6019	
EXPERIMENT_1_T_KE_008_C4	12204	0	8360	
EXPERIMENT_1_T_MG_002_1	9311	41	6932	
EXPERIMENT_1_T_MG_002_2	13477	0	9650	
EXPERIMENT_1_T_Neg_index_1	0	0	0	
EXPERIMENT_1_T_Neg_index_2	1	0	1	
EXPERIMENT_1_T_Neg_PCRI_1	1043	3	814	
EXPERIMENT_1_T_Neg_PCRI_2	1214	0	857	
EXPERIMENT_1_T_NO_385_1	5637	1712	6534	
EXPERIMENT_1_T_NO_385_2	39141	4	27531	
EXPERIMENT_1_T_NO_386_1	5548	9	3878	
EXPERIMENT_1_T_NO_386_2	16481	13	11487	
EXPERIMENT_1_T_NZ_030_1	10648	200	7876	
EXPERIMENT_1_T_NZ_030_2	20831	10	14421	
EXPERIMENT_1_T_PL_010_A1	4911	238	3754	
EXPERIMENT_1_T_PL_010_A2	2745	145	2284	
