Statistics	EXPERIMENT_1_T_AU_031_1	EXPERIMENT_1_T_AU_031_2	EXPERIMENT_1_T_B1	EXPERIMENT_1_T_B2	EXPERIMENT_1_T_CH_001_1	EXPERIMENT_1_T_CH_001_2	EXPERIMENT_1_T_DE_001_1	EXPERIMENT_1_T_DE_001_2	EXPERIMENT_1_T_ES_004_1	EXPERIMENT_1_T_ES_004_2	EXPERIMENT_1_T_FR_072_1	EXPERIMENT_1_T_FR_072_2	EXPERIMENT_1_T_FR_083_1	EXPERIMENT_1_T_FR_083_2	EXPERIMENT_1_T_FR_123_1	EXPERIMENT_1_T_FR_123_2	EXPERIMENT_1_T_G1	EXPERIMENT_1_T_G2	EXPERIMENT_1_T_GB_003_1	EXPERIMENT_1_T_GB_003_2	EXPERIMENT_1_T_GB_093_1	EXPERIMENT_1_T_GB_093_2	EXPERIMENT_1_T_HU_012_1	EXPERIMENT_1_T_HU_012_2	EXPERIMENT_1_T_IN_030_1	EXPERIMENT_1_T_IN_030_2	EXPERIMENT_1_T_IT_048_1	EXPERIMENT_1_T_IT_048_2	EXPERIMENT_1_T_JP_002_1	EXPERIMENT_1_T_JP_002_2	EXPERIMENT_1_T_KE_008_A1	EXPERIMENT_1_T_KE_008_A2	EXPERIMENT_1_T_KE_008_A3	EXPERIMENT_1_T_KE_008_A4	EXPERIMENT_1_T_KE_008_B1	EXPERIMENT_1_T_KE_008_B2	EXPERIMENT_1_T_KE_008_B3	EXPERIMENT_1_T_KE_008_B4	EXPERIMENT_1_T_KE_008_C1	EXPERIMENT_1_T_KE_008_C2	EXPERIMENT_1_T_KE_008_C3	EXPERIMENT_1_T_KE_008_C4	EXPERIMENT_1_T_MG_002_1	EXPERIMENT_1_T_MG_002_2	EXPERIMENT_1_T_Neg_PCRI_1	EXPERIMENT_1_T_Neg_PCRI_2	EXPERIMENT_1_T_NO_385_1	EXPERIMENT_1_T_NO_385_2	EXPERIMENT_1_T_NO_386_1	EXPERIMENT_1_T_NO_386_2	EXPERIMENT_1_T_NZ_030_1	EXPERIMENT_1_T_NZ_030_2	EXPERIMENT_1_T_PL_010_A1	EXPERIMENT_1_T_PL_010_A2	EXPERIMENT_1_T_PL_010_A3	EXPERIMENT_1_T_PL_010_A4	EXPERIMENT_1_T_PL_010_B1	EXPERIMENT_1_T_PL_010_B2	EXPERIMENT_1_T_PL_010_B3	EXPERIMENT_1_T_PL_010_B4	EXPERIMENT_1_T_PL_010_C1	EXPERIMENT_1_T_PL_010_C2	EXPERIMENT_1_T_PL_010_C3	EXPERIMENT_1_T_PL_010_C4	EXPERIMENT_1_T_PL_014_1	EXPERIMENT_1_T_PL_014_2	EXPERIMENT_1_T_PL_015_A1	EXPERIMENT_1_T_PL_015_A2	EXPERIMENT_1_T_PL_015_A3	EXPERIMENT_1_T_PL_015_A4	EXPERIMENT_1_T_PL_015_B1	EXPERIMENT_1_T_PL_015_B2	EXPERIMENT_1_T_PL_015_B3	EXPERIMENT_1_T_PL_015_B4	EXPERIMENT_1_T_PL_015_C1	EXPERIMENT_1_T_PL_015_C2	EXPERIMENT_1_T_PL_015_C3	EXPERIMENT_1_T_PL_015_C4	EXPERIMENT_1_T_PL_016_1	EXPERIMENT_1_T_PL_016_2	EXPERIMENT_1_T_PL_018_1	EXPERIMENT_1_T_PL_018_2	EXPERIMENT_1_T_PL_110_1	EXPERIMENT_1_T_PL_110_2	EXPERIMENT_1_T_PL_247_1	EXPERIMENT_1_T_PL_247_2	EXPERIMENT_1_T_PL_318_1	EXPERIMENT_1_T_PL_318_2	EXPERIMENT_1_T_PT_006_1	EXPERIMENT_1_T_PT_006_2	EXPERIMENT_1_T_PT_008_1	EXPERIMENT_1_T_PT_008_2	EXPERIMENT_1_T_PT_035_1	EXPERIMENT_1_T_PT_035_2	EXPERIMENT_1_T_PT_056_1	EXPERIMENT_1_T_PT_056_2	EXPERIMENT_1_T_r1	EXPERIMENT_1_T_r2	EXPERIMENT_1_T_RU_017_1	EXPERIMENT_1_T_RU_017_2	EXPERIMENT_1_T_SK_003_1	EXPERIMENT_1_T_SK_003_2	EXPERIMENT_1_T_VN_036_1	EXPERIMENT_1_T_VN_036_2	EXPERIMENT_1_TZ_blank_LB_Z	EXPERIMENT_1_TZ_G1_Z	EXPERIMENT_1_TZ_G2_Z	EXPERIMENT_1_TZ_KE_008_A1	EXPERIMENT_1_TZ_KE_008_A2	EXPERIMENT_1_TZ_KE_008_A3	EXPERIMENT_1_TZ_KE_008_A4	EXPERIMENT_1_TZ_KE_008_B1	EXPERIMENT_1_TZ_KE_008_B2	EXPERIMENT_1_TZ_KE_008_B3	EXPERIMENT_1_TZ_KE_008_B4	EXPERIMENT_1_TZ_KE_008_C1	EXPERIMENT_1_TZ_KE_008_C2	EXPERIMENT_1_TZ_KE_008_C3	EXPERIMENT_1_TZ_KE_008_C4	EXPERIMENT_1_TZ_Neg_PCRI	EXPERIMENT_1_TZ_PL_010_A1	EXPERIMENT_1_TZ_PL_010_A2	EXPERIMENT_1_TZ_PL_010_A3	EXPERIMENT_1_TZ_PL_010_A4	EXPERIMENT_1_TZ_PL_010_B1	EXPERIMENT_1_TZ_PL_010_B2	EXPERIMENT_1_TZ_PL_010_B3	EXPERIMENT_1_TZ_PL_010_B4	EXPERIMENT_1_TZ_PL_010_C1	EXPERIMENT_1_TZ_PL_010_C2	EXPERIMENT_1_TZ_PL_010_C3	EXPERIMENT_1_TZ_PL_010_C4	EXPERIMENT_1_TZ_PL_015_A1	EXPERIMENT_1_TZ_PL_015_A2	EXPERIMENT_1_TZ_PL_015_A3	EXPERIMENT_1_TZ_PL_015_A4	EXPERIMENT_1_TZ_PL_015_B1	EXPERIMENT_1_TZ_PL_015_B2	EXPERIMENT_1_TZ_PL_015_B3	EXPERIMENT_1_TZ_PL_015_B4	EXPERIMENT_1_TZ_PL_015_C1	EXPERIMENT_1_TZ_PL_015_C2	EXPERIMENT_1_TZ_PL_015_C3	EXPERIMENT_1_TZ_PL_015_C4	EXPERIMENT_1_TZ_r1_Z	EXPERIMENT_1_TZ_r2_Z
Symbionts_reads	1857	5614	14	27	2980	8305	8150	7480	6076	11416	290	4973	1974	38554	930	1957	113	136	34	1916	21	699	2589	2	2569	5677	7324	10850	5505	6172	12015	8176	3514	6520	3115	3720	5009	3038	3862	417	6170	10804	4827	6443	0	0	1331	13457	2769	7350	5160	10257	2382	457	2835	11521	625	2303	2594	12300	11933	3033	2052	3105	198	4641	32	12	11	77	8	70	11	63	995	3407	762	2820	1009	8749	974	3978	2007	1013	1356	17399	14634	5284	17639	11433	11147	5422	2167	4570	47027	11710	29	107	1	855	4068	3930	4	61	3	117	53	751	536	255	9234	2435	2023	16568	10088	151	184	46	12195	2	304	289	933	2200	1595	592	1197	6621	4384	4039	1460	7450	2966	2163	183	2648	407	678	2649	1824	60	93	46	2705	1335	1101
Others_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbionts and Other_reads	1857	5614	14	27	2980	8305	8150	7480	6076	11416	290	4973	1974	38554	930	1957	113	136	34	1916	21	699	2589	2	2569	5677	7324	10850	5505	6172	12015	8176	3514	6520	3115	3720	5009	3038	3862	417	6170	10804	4827	6443	0	0	1331	13457	2769	7350	5160	10257	2382	457	2835	11521	625	2303	2594	12300	11933	3033	2052	3105	198	4641	32	12	11	77	8	70	11	63	995	3407	762	2820	1009	8749	974	3978	2007	1013	1356	17399	14634	5284	17639	11433	11147	5422	2167	4570	47027	11710	29	107	1	855	4068	3930	4	61	3	117	53	751	536	255	9234	2435	2023	16568	10088	151	184	46	12195	2	304	289	933	2200	1595	592	1197	6621	4384	4039	1460	7450	2966	2163	183	2648	407	678	2649	1824	60	93	46	2705	1335	1101
PCR_Contaminants_reads	723	985	1186	899	959	916	502	569	3089	2510	604	303	1045	716	1258	467	11	12	197	167	30	29	2257	0	1465	517	3256	1233	2064	531	148	1621	1063	255	1498	518	2631	1029	1175	429	1366	16	1752	1021	347	1005	2479	1114	1180	1786	1564	510	1716	1838	2761	820	929	2198	1176	578	877	1935	1772	364	813	1455	156	103	15	40	61	419	100	30	1383	3964	2013	1546	1148	1465	1895	1041	1510	708	1335	531	875	791	737	710	1172	1569	2292	1276	320	627	191	19	4	50	1160	1759	6	14	238	74	39	257	305	215	121	310	261	335	389	117	109	28	230	530	184	114	119	88	379	405	328	164	494	629	464	183	402	402	463	303	523	348	1236	195	70	66	179	130	105	74
Extraction_Contaminants_reads	90	0	279	227	0	0	31	17	44	91	16	12	27	23	13	21	67	140	0	0	0	0	85	0	30	0	164	26	11	31	9	159	113	10	11	12	131	14	31	2	31	9	49	17	0	0	216	55	256	23	149	88	146	0	110	35	47	176	215	15	100	537	148	6	0	9	4	4	0	0	3	8	0	0	22	201	49	0	53	0	13	6	46	0	65	0	176	14	320	17	101	16	57	10	0	11	0	5	0	0	11	0	0	0	48	387	238	16	14	18	25	44	28	131	36	8	4	8	20	0	11	26	22	4	50	50	12	15	95	49	37	21	65	31	88	27	38	24	113	18	7	6	15	9	11	21
PCR_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extraction_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_reads	0	237	0	0	75	272	0	625	60	856	66	2282	0	880	0	166	9946	14854	0	42	0	34	153	1	66	103	0	124	0	329	0	57	25	71	84	199	40	440	45	0	0	271	19	129	0	0	54	1286	96	370	0	317	20	0	0	887	0	0	19	195	105	0	0	435	5	56	3	0	0	1	0	0	0	1	0	0	0	0	0	378	0	102	51	159	0	533	181	201	345	329	21	274	192	380	22	357	71	107	0	40	0	708	0	13	0	15806	10312	17	2	3	472	250	228	103	343	0	0	0	640	0	5	19	32	81	32	6	16	115	114	7	17	121	74	65	0	61	2	16	1	28	2	1	2	93	1443	1133
Rotifers reads	136	3516	0	0	98	2239	14	4884	173	5205	765	22366	73	1879	652	1446	7	11	2	64	0	300	239	5	30	1437	193	2458	219	5348	444	368	105	659	361	292	758	4028	287	27	249	267	1211	4812	0	0	323	20354	778	4872	2107	7784	92	47	62	5210	73	0	33	2370	125	66	134	920	0	2707	0	0	0	8	0	0	0	0	0	0	0	237	62	3427	53	2882	115	1478	31	2289	85	1000	266	1429	75	5457	218	2311	64	3492	2220	5783	0	436	34	4943	0	91	0	310	197	75	79	53	1647	249	107	196	1564	12	21	5	1537	0	26	34	96	432	251	84	85	964	255	132	46	548	137	340	30	859	64	68	103	174	6	13	7	284	29693	19724
Total_reads_per_library	2806	10352	1479	1153	4112	11732	8697	13575	9442	20078	1741	29936	3119	42052	2853	4057	10144	15153	233	2189	51	1062	5323	8	4160	7734	10937	14691	7799	12411	12616	10381	4820	7515	5069	4741	8569	8549	5400	875	7816	11367	7858	12422	347	1005	4403	36266	5079	14401	8980	18956	4356	2342	5768	18473	1674	4677	4037	15458	13140	5571	4106	4830	1016	8868	195	119	26	126	72	497	111	94	2400	7572	2824	4603	2272	14019	2935	8009	3729	3358	2787	20752	15951	7290	19307	13918	12516	12738	4926	8547	47433	16197	2511	6021	5	1381	5273	11340	10	179	289	16694	10839	1116	936	544	11499	3288	2647	17333	12420	288	318	87	14622	532	530	482	1202	2805	2307	1137	1638	7879	5342	4856	2024	8323	3644	3001	764	3898	1034	1134	4102	2239	145	179	249	3221	32587	22053
