EXPERIMENT_1_T_AU_031_1	EXPERIMENT_1_T_AU_031_2	EXPERIMENT_1_T_B1	EXPERIMENT_1_T_B2	EXPERIMENT_1_T_CH_001_1	EXPERIMENT_1_T_CH_001_2	EXPERIMENT_1_T_DE_001_1	EXPERIMENT_1_T_DE_001_2	EXPERIMENT_1_T_ES_004_1	EXPERIMENT_1_T_ES_004_2	EXPERIMENT_1_T_FR_072_1	EXPERIMENT_1_T_FR_072_2	EXPERIMENT_1_T_FR_083_1	EXPERIMENT_1_T_FR_083_2	EXPERIMENT_1_T_FR_123_1	EXPERIMENT_1_T_FR_123_2	EXPERIMENT_1_T_G1	EXPERIMENT_1_T_G2	EXPERIMENT_1_T_GB_003_1	EXPERIMENT_1_T_GB_003_2	EXPERIMENT_1_T_GB_093_1	EXPERIMENT_1_T_GB_093_2	EXPERIMENT_1_T_HU_012_1	EXPERIMENT_1_T_HU_012_2	EXPERIMENT_1_T_IN_030_1	EXPERIMENT_1_T_IN_030_2	EXPERIMENT_1_T_IT_048_1	EXPERIMENT_1_T_IT_048_2	EXPERIMENT_1_T_JP_002_1	EXPERIMENT_1_T_JP_002_2	EXPERIMENT_1_T_KE_008_A1	EXPERIMENT_1_T_KE_008_A2	EXPERIMENT_1_T_KE_008_A3	EXPERIMENT_1_T_KE_008_A4	EXPERIMENT_1_T_KE_008_B1	EXPERIMENT_1_T_KE_008_B2	EXPERIMENT_1_T_KE_008_B3	EXPERIMENT_1_T_KE_008_B4	EXPERIMENT_1_T_KE_008_C1	EXPERIMENT_1_T_KE_008_C2	EXPERIMENT_1_T_KE_008_C3	EXPERIMENT_1_T_KE_008_C4	EXPERIMENT_1_T_MG_002_1	EXPERIMENT_1_T_MG_002_2	EXPERIMENT_1_T_Neg_PCRI_1	EXPERIMENT_1_T_Neg_PCRI_2	EXPERIMENT_1_T_NO_385_1	EXPERIMENT_1_T_NO_385_2	EXPERIMENT_1_T_NO_386_1	EXPERIMENT_1_T_NO_386_2	EXPERIMENT_1_T_NZ_030_1	EXPERIMENT_1_T_NZ_030_2	EXPERIMENT_1_T_PL_010_A1	EXPERIMENT_1_T_PL_010_A2	EXPERIMENT_1_T_PL_010_A3	EXPERIMENT_1_T_PL_010_A4	EXPERIMENT_1_T_PL_010_B1	EXPERIMENT_1_T_PL_010_B2	EXPERIMENT_1_T_PL_010_B3	EXPERIMENT_1_T_PL_010_B4	EXPERIMENT_1_T_PL_010_C1	EXPERIMENT_1_T_PL_010_C2	EXPERIMENT_1_T_PL_010_C3	EXPERIMENT_1_T_PL_010_C4	EXPERIMENT_1_T_PL_014_1	EXPERIMENT_1_T_PL_014_2	EXPERIMENT_1_T_PL_015_A1	EXPERIMENT_1_T_PL_015_A2	EXPERIMENT_1_T_PL_015_A3	EXPERIMENT_1_T_PL_015_A4	EXPERIMENT_1_T_PL_015_B1	EXPERIMENT_1_T_PL_015_B2	EXPERIMENT_1_T_PL_015_B3	EXPERIMENT_1_T_PL_015_B4	EXPERIMENT_1_T_PL_015_C1	EXPERIMENT_1_T_PL_015_C2	EXPERIMENT_1_T_PL_015_C3	EXPERIMENT_1_T_PL_015_C4	EXPERIMENT_1_T_PL_016_1	EXPERIMENT_1_T_PL_016_2	EXPERIMENT_1_T_PL_018_1	EXPERIMENT_1_T_PL_018_2	EXPERIMENT_1_T_PL_110_1	EXPERIMENT_1_T_PL_110_2	EXPERIMENT_1_T_PL_247_1	EXPERIMENT_1_T_PL_247_2	EXPERIMENT_1_T_PL_318_1	EXPERIMENT_1_T_PL_318_2	EXPERIMENT_1_T_PT_006_1	EXPERIMENT_1_T_PT_006_2	EXPERIMENT_1_T_PT_008_1	EXPERIMENT_1_T_PT_008_2	EXPERIMENT_1_T_PT_035_1	EXPERIMENT_1_T_PT_035_2	EXPERIMENT_1_T_PT_056_1	EXPERIMENT_1_T_PT_056_2	EXPERIMENT_1_T_r1	EXPERIMENT_1_T_r2	EXPERIMENT_1_T_RU_017_1	EXPERIMENT_1_T_RU_017_2	EXPERIMENT_1_T_SK_003_1	EXPERIMENT_1_T_SK_003_2	EXPERIMENT_1_T_VN_036_1	EXPERIMENT_1_T_VN_036_2	EXPERIMENT_1_TZ_blank_LB_Z	EXPERIMENT_1_TZ_G1_Z	EXPERIMENT_1_TZ_G2_Z	EXPERIMENT_1_TZ_KE_008_A1	EXPERIMENT_1_TZ_KE_008_A2	EXPERIMENT_1_TZ_KE_008_A3	EXPERIMENT_1_TZ_KE_008_A4	EXPERIMENT_1_TZ_KE_008_B1	EXPERIMENT_1_TZ_KE_008_B2	EXPERIMENT_1_TZ_KE_008_B3	EXPERIMENT_1_TZ_KE_008_B4	EXPERIMENT_1_TZ_KE_008_C1	EXPERIMENT_1_TZ_KE_008_C2	EXPERIMENT_1_TZ_KE_008_C3	EXPERIMENT_1_TZ_KE_008_C4	EXPERIMENT_1_TZ_Neg_PCRI	EXPERIMENT_1_TZ_PL_010_A1	EXPERIMENT_1_TZ_PL_010_A2	EXPERIMENT_1_TZ_PL_010_A3	EXPERIMENT_1_TZ_PL_010_A4	EXPERIMENT_1_TZ_PL_010_B1	EXPERIMENT_1_TZ_PL_010_B2	EXPERIMENT_1_TZ_PL_010_B3	EXPERIMENT_1_TZ_PL_010_B4	EXPERIMENT_1_TZ_PL_010_C1	EXPERIMENT_1_TZ_PL_010_C2	EXPERIMENT_1_TZ_PL_010_C3	EXPERIMENT_1_TZ_PL_010_C4	EXPERIMENT_1_TZ_PL_015_A1	EXPERIMENT_1_TZ_PL_015_A2	EXPERIMENT_1_TZ_PL_015_A3	EXPERIMENT_1_TZ_PL_015_A4	EXPERIMENT_1_TZ_PL_015_B1	EXPERIMENT_1_TZ_PL_015_B2	EXPERIMENT_1_TZ_PL_015_B3	EXPERIMENT_1_TZ_PL_015_B4	EXPERIMENT_1_TZ_PL_015_C1	EXPERIMENT_1_TZ_PL_015_C2	EXPERIMENT_1_TZ_PL_015_C3	EXPERIMENT_1_TZ_PL_015_C4	EXPERIMENT_1_TZ_r1_Z	EXPERIMENT_1_TZ_r2_Z
																														A	A	A	A	B	B	B	B	C	C	C	C											A	A	A	A	B	B	B	B	C	C	C	C			A	A	A	A	B	B	B	B	C	C	C	C																														A	A	A	A	B	B	B	B	C	C	C	C		A	A	A	A	B	B	B	B	C	C	C	C	A	A	A	A	B	B	B	B	C	C	C	C		
Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex			Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	Chelex	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads		beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads	beads
Macrobiotus noongaris AU.031	Macrobiotus noongaris AU.031	blank	blank	Macrobiotus polonicus CH.001	Macrobiotus polonicus CH.001	Milnesium inceptum DE.001	Milnesium inceptum DE.001	Macrobiotus canaricus ES.004	Macrobiotus canaricus ES.004	Milnesium tardigradum FR.072	Milnesium tardigradum FR.072	Macrobiotus polonicus FR.083	Macrobiotus polonicus FR.083	Paramacrobiotus sp.  FR.123	Paramacrobiotus sp.  FR.123	algae	algae	Hypsibius exemplaris GB.003	Hypsibius exemplaris GB.003	Mesobiotus sp. GB.093	Mesobiotus sp. GB.093	Paramacrobiotus sp. HU.12	Paramacrobiotus sp. HU.12	Macrobiotus kamilae IN.030	Macrobiotus kamilae IN.030	Paramacrobiotus sp. IT.048	Paramacrobiotus sp. IT.048	Macrobiotus shonaicus JP.002	Macrobiotus shonaicus JP.002	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Milnesium sp.  MG.002	Milnesium sp.  MG.002	blank	blank	Paramacrobiotus areolatus NO.385	Paramacrobiotus areolatus NO.385	Paramacrobiotus sp. NO.386	Paramacrobiotus sp. NO.386	Milnesium inceptum NZ.030	Milnesium inceptum NZ.030	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Thulinius ruffoii PL.014	Thulinius ruffoii PL.014	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Hypsibius sp.  PL.016	Hypsibius sp.  PL.016	Paramacrobiotus fairbanksi PL.018	Paramacrobiotus fairbanksi PL.018	Macrobiotus macrocalix PL.110	Macrobiotus macrocalix PL.110	Milnesium sp. PL.247	Milnesium sp. PL.247	Pseudobiotus sp.  PL.318	Pseudobiotus sp.  PL.318	Paramacrobiotus sp. PT.006	Paramacrobiotus sp. PT.006	Macrobiotus polonicus PT.008	Macrobiotus polonicus PT.008	Paramacrobiotus sp. PT.035	Paramacrobiotus sp. PT.035	Macrobiotus cf. recens PT.056	Macrobiotus cf. recens PT.056	rotifers	rotifers	Mesobiotus sp. RU.017	Mesobiotus sp. RU.017	Macrobiotus polonicus SK.003	Macrobiotus polonicus SK.003	Mesobiotus sp. VN.036	Mesobiotus sp. VN.036	blank	algae	algae	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	Meb.KE.008	blank	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.010	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	Mac.PL.015	rotifers	rotifers
		blank	blank													algae	algae																											blank	blank																																																			rotifers	rotifers							blank	algae	algae													blank																									rotifers	rotifers
1	medium	blank	blank	1	medium	1	medium	1	medium	1	medium	1	medium	1	medium	algae	algae	1	medium	1	medium	1	medium	1	medium	1	medium	1	medium	1	1	1	medium	1	1	1	medium	1	1	1	medium	1	medium	blank	blank	1	medium	1	medium	1	medium	1	1	1	medium	1	1	1	medium	1	1	1	medium	1	medium	1	1	1	medium	1	1	1	medium	1	1	1	medium	1	medium	1	medium	1	medium	1	medium	1	medium	1	medium	1	medium	1	medium	1	medium	rotifers	rotifers	1	medium	1	medium	1	medium	blank	algae	algae	1	1	1	medium	1	1	1	medium	1	1	1	medium	blank	1	1	1	medium	1	1	1	medium	1	1	1	medium	1	1	1	medium	1	1	1	medium	1	1	1	medium	rotifers	rotifers
																																																																																																																																																	
UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ	UJ
																																																																																																																																																	
exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1	exp1
Macrobiotus	Macrobiotus			Macrobiotus	Macrobiotus	Milnesium	Milnesium	Macrobiotus	Macrobiotus	Milnesium	Milnesium	Macrobiotus	Macrobiotus	Paramacrobiotus	Paramacrobiotus			Hypsibius	Hypsibius	Mesobiotus	Mesobiotus	Paramacrobiotus	Paramacrobiotus	Macrobiotus	Macrobiotus	Paramacrobiotus	Paramacrobiotus	Macrobiotus	Macrobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Milnesium	Milnesium			Paramacrobiotus	Paramacrobiotus	Paramacrobiotus	Paramacrobiotus	Milnesium	Milnesium	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Thulinius	Thulinius	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Hypsibius	Hypsibius	Paramacrobiotus	Paramacrobiotus	Macrobiotus	Macrobiotus	Milnesium	Milnesium	Pseudobiotus	Pseudobiotus	Paramacrobiotus	Paramacrobiotus	Macrobiotus	Macrobiotus	Paramacrobiotus	Paramacrobiotus	Macrobiotus	Macrobiotus			Mesobiotus	Mesobiotus	Macrobiotus	Macrobiotus	Mesobiotus	Mesobiotus				Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus	Mesobiotus		Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus	Macrobiotus		
