Statistics	EXPERIMENT_2_T_B01	EXPERIMENT_2_T_B02	EXPERIMENT_2_T_G01	EXPERIMENT_2_T_G02	EXPERIMENT_2_T_KE008_A01	EXPERIMENT_2_T_KE008_A02	EXPERIMENT_2_T_KE008_A03	EXPERIMENT_2_T_KE008_A04	EXPERIMENT_2_T_KE008_A05	EXPERIMENT_2_T_KE008_A06	EXPERIMENT_2_T_KE008_A07	EXPERIMENT_2_T_KE008_A08	EXPERIMENT_2_T_KE008_A09	EXPERIMENT_2_T_KE008_A10	EXPERIMENT_2_T_KE008_B01	EXPERIMENT_2_T_KE008_B02	EXPERIMENT_2_T_KE008_B03	EXPERIMENT_2_T_KE008_B04	EXPERIMENT_2_T_KE008_B05	EXPERIMENT_2_T_KE008_B06	EXPERIMENT_2_T_KE008_B07	EXPERIMENT_2_T_KE008_B08	EXPERIMENT_2_T_KE008_B09	EXPERIMENT_2_T_KE008_B10	EXPERIMENT_2_T_KE008_C01	EXPERIMENT_2_T_KE008_C02	EXPERIMENT_2_T_KE008_C03	EXPERIMENT_2_T_KE008_C04	EXPERIMENT_2_T_KE008_C05	EXPERIMENT_2_T_KE008_C06	EXPERIMENT_2_T_KE008_C07	EXPERIMENT_2_T_KE008_C08	EXPERIMENT_2_T_KE008_C09	EXPERIMENT_2_T_KE008_C10	EXPERIMENT_2_T_L01	EXPERIMENT_2_T_L02	EXPERIMENT_2_T_Neg_PCR1	EXPERIMENT_2_T_Neg_PCR2	EXPERIMENT_2_T_PL010_A01	EXPERIMENT_2_T_PL010_A02	EXPERIMENT_2_T_PL010_A03	EXPERIMENT_2_T_PL010_A04	EXPERIMENT_2_T_PL010_A05	EXPERIMENT_2_T_PL010_A06	EXPERIMENT_2_T_PL010_A07	EXPERIMENT_2_T_PL010_A08	EXPERIMENT_2_T_PL010_A09	EXPERIMENT_2_T_PL010_A10	EXPERIMENT_2_T_PL010_B01	EXPERIMENT_2_T_PL010_B02	EXPERIMENT_2_T_PL010_B03	EXPERIMENT_2_T_PL010_B04	EXPERIMENT_2_T_PL010_B05	EXPERIMENT_2_T_PL010_B06	EXPERIMENT_2_T_PL010_B07	EXPERIMENT_2_T_PL010_B08	EXPERIMENT_2_T_PL010_B09	EXPERIMENT_2_T_PL010_B10	EXPERIMENT_2_T_PL010_C01	EXPERIMENT_2_T_PL010_C02	EXPERIMENT_2_T_PL010_C03	EXPERIMENT_2_T_PL010_C04	EXPERIMENT_2_T_PL010_C05	EXPERIMENT_2_T_PL010_C06	EXPERIMENT_2_T_PL010_C07	EXPERIMENT_2_T_PL010_C08	EXPERIMENT_2_T_PL010_C09	EXPERIMENT_2_T_PL015_A01	EXPERIMENT_2_T_PL015_A02	EXPERIMENT_2_T_PL015_A03	EXPERIMENT_2_T_PL015_A04	EXPERIMENT_2_T_PL015_A05	EXPERIMENT_2_T_PL015_A06	EXPERIMENT_2_T_PL015_A07	EXPERIMENT_2_T_PL015_A08	EXPERIMENT_2_T_PL015_A09	EXPERIMENT_2_T_PL015_A10	EXPERIMENT_2_T_PL015_B01	EXPERIMENT_2_T_PL015_B02	EXPERIMENT_2_T_PL015_B03	EXPERIMENT_2_T_PL015_B04	EXPERIMENT_2_T_PL015_B05	EXPERIMENT_2_T_PL015_B06	EXPERIMENT_2_T_PL015_B07	EXPERIMENT_2_T_PL015_B08	EXPERIMENT_2_T_PL015_B09	EXPERIMENT_2_T_PL015_B10	EXPERIMENT_2_T_PL015_C01	EXPERIMENT_2_T_PL015_C02	EXPERIMENT_2_T_PL015_C03	EXPERIMENT_2_T_PL015_C04	EXPERIMENT_2_T_PL015_C05	EXPERIMENT_2_T_PL015_C06	EXPERIMENT_2_T_PL015_C07	EXPERIMENT_2_T_PL015_C08	EXPERIMENT_2_T_PL015_C09	EXPERIMENT_2_T_PL015_C10	EXPERIMENT_2_T_Q10_A10	EXPERIMENT_2_T_Q11_B01	EXPERIMENT_2_T_Q12_B02	EXPERIMENT_2_T_Q13_B03	EXPERIMENT_2_T_Q14_B04	EXPERIMENT_2_T_Q15_B05	EXPERIMENT_2_T_Q16_B06	EXPERIMENT_2_T_Q17_B07	EXPERIMENT_2_T_Q18_B08	EXPERIMENT_2_T_Q19_B09	EXPERIMENT_2_T_Q1_A01	EXPERIMENT_2_T_Q20_B10	EXPERIMENT_2_T_Q21_C01	EXPERIMENT_2_T_Q22_C02	EXPERIMENT_2_T_Q23_C03	EXPERIMENT_2_T_Q24_C04	EXPERIMENT_2_T_Q25_C05	EXPERIMENT_2_T_Q26_C06	EXPERIMENT_2_T_Q27_C07	EXPERIMENT_2_T_Q28_C08	EXPERIMENT_2_T_Q29_C09	EXPERIMENT_2_T_Q2_A02	EXPERIMENT_2_T_Q30_C10	EXPERIMENT_2_T_Q31_B01	EXPERIMENT_2_T_Q32_B02	EXPERIMENT_2_T_Q33_R01	EXPERIMENT_2_T_Q34_R02	EXPERIMENT_2_T_Q35_G01	EXPERIMENT_2_T_Q36_G02	EXPERIMENT_2_T_Q37_L01	EXPERIMENT_2_T_Q38_L02	EXPERIMENT_2_T_Q39_Z01	EXPERIMENT_2_T_Q3_A03	EXPERIMENT_2_T_Q40_Z02	EXPERIMENT_2_T_Q4_A04	EXPERIMENT_2_T_Q5_A05	EXPERIMENT_2_T_Q6_A06	EXPERIMENT_2_T_Q7_A07	EXPERIMENT_2_T_Q8_A08	EXPERIMENT_2_T_Q9_A09	EXPERIMENT_2_T_R01	EXPERIMENT_2_T_R02	EXPERIMENT_2_T_Z01	EXPERIMENT_2_T_Z02
Symbionts_reads	0	308	3	3	6773	10054	14219	4356	5065	611	4216	2320	19381	18624	13256	3016	14798	18333	7749	1846	2808	2917	21477	37703	3317	6253	6593	12577	1861	2528	868	985	26322	24885	10	2	25	4	14289	3021	2192	5240	644	413	586	368	10930	7842	5002	6658	7049	8813	1913	1447	7523	1603	15778	21187	10249	16050	15024	7122	2652	1146	1349	1755	26566	865	594	1323	881	170	76	55	62	35574	25834	5112	9408	2441	1941	1210	2183	1326	1272	11501	19211	3015	3169	8536	5799	2859	718	1720	1266	6420	10826	42202	13636	1519	29984	8887	3460	3434	523	1141	18070	2493	14829	8831	13772	4974	4613	1414	802	369	465	44380	6166	37651	4	3	193	221	0	3	12	73	3	3136	1	8715	198	1249	289	2270	45174	116	159	4	10
Others_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbionts and Other_reads	0	308	3	3	6773	10054	14219	4356	5065	611	4216	2320	19381	18624	13256	3016	14798	18333	7749	1846	2808	2917	21477	37703	3317	6253	6593	12577	1861	2528	868	985	26322	24885	10	2	25	4	14289	3021	2192	5240	644	413	586	368	10930	7842	5002	6658	7049	8813	1913	1447	7523	1603	15778	21187	10249	16050	15024	7122	2652	1146	1349	1755	26566	865	594	1323	881	170	76	55	62	35574	25834	5112	9408	2441	1941	1210	2183	1326	1272	11501	19211	3015	3169	8536	5799	2859	718	1720	1266	6420	10826	42202	13636	1519	29984	8887	3460	3434	523	1141	18070	2493	14829	8831	13772	4974	4613	1414	802	369	465	44380	6166	37651	4	3	193	221	0	3	12	73	3	3136	1	8715	198	1249	289	2270	45174	116	159	4	10
PCR_Contaminants_reads	1655	913	10	14	598	528	1484	909	3772	2189	2564	2621	541	735	688	570	1017	1191	1791	2410	1194	1353	796	1840	734	980	1085	758	1598	3358	846	1090	428	618	340	166	17015	3385	1321	856	808	725	1084	796	1469	852	615	300	1171	1359	1276	944	1471	1527	2680	531	961	1579	1423	592	765	1053	826	348	924	1610	944	734	385	513	233	1017	439	178	233	1453	1247	1506	2333	714	720	878	1505	1878	1424	557	774	1212	1027	648	1068	1005	1119	1427	637	257	383	945	1991	458	577	1060	1272	2548	772	1230	323	578	345	691	2137	899	786	3321	1722	1083	1197	750	1080	519	2063	1927	286	20	28	42	1771	3426	2831	387	2987	1269	485	2649	1290	4049	856	8	14	1166	494
Extraction_Contaminants_reads	221	27689	32	45	1312	1606	2566	1188	3128	294	2130	2728	3127	3945	1147	1887	1084	1833	723	698	887	805	3911	5707	764	1837	1124	1482	797	1006	451	526	4225	5200	455	227	159	29	1695	1264	568	1278	580	329	641	507	2132	1240	1270	1592	1877	2643	1213	1145	2155	412	3344	5441	1206	1332	1416	1812	621	346	1105	1693	1321	571	280	509	191	423	250	109	116	2924	2461	2423	2267	913	928	308	878	1898	1068	1644	3537	1308	1316	1464	1001	969	1427	850	438	522	825	3717	2534	515	1840	4495	869	2285	514	344	1483	630	1066	1517	2394	922	1078	1020	537	135	385	5327	815	1333	752	963	5226	5256	75	74	1760	6542	18038	529	5848	1571	224	460	323	1557	2959	2807	4460	1742	2368
PCR_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extraction_Spikeins_reads	268	208	1	1	284	230	568	295	997	218	691	810	341	390	484	306	400	447	302	565	175	554	244	455	168	146	317	309	481	798	76	411	279	234	259	44	0	0	597	508	487	139	236	236	138	229	171	259	321	152	303	412	137	548	821	180	395	287	304	354	335	460	201	185	318	48	335	161	118	200	57	112	246	37	128	548	434	1073	723	541	360	313	881	881	814	429	376	389	499	371	420	637	510	786	284	166	295	40	519	111	35	155	292	461	138	409	33	84	30	124	278	172	202	798	626	164	364	97	73	19	782	717	1	2	1	1	317	235	240	61	305	113	53	211	168	640	101	8	10	218	88
Algae_reads	0	13	7438	9267	101	800	467	126	109	0	22	0	1817	1315	71	11	357	778	16	39	371	0	597	1186	31	151	209	202	0	65	22	0	983	922	0	2	1	0	109	0	50	295	3	0	0	0	436	185	24	89	61	210	27	16	62	5	445	781	57	882	155	55	60	0	0	0	190	18	0	32	5	0	11	0	0	802	836	17	106	17	272	50	68	0	0	353	306	10	6	150	82	183	0	38	26	267	320	1759	350	8	1112	583	87	9	0	16	342	31	415	197	321	47	26	0	39	0	1	1032	147	1675	0	0	325	374	13047	11380	32	49	105	35	1	144	10	0	0	0	1539	161	207	0	1
Rotifers reads	0	59	0	0	1681	2857	4494	2429	940	229	1777	1925	13245	18648	1156	801	4052	6480	715	442	872	653	22441	35426	1301	2677	2415	5713	383	1176	727	718	20021	21619	0	0	0	0	2215	1415	904	2159	658	91	149	130	10115	7166	1529	1439	2334	6680	647	794	1333	99	16682	26365	1706	7681	2558	3313	261	99	1001	761	13583	195	117	1240	171	124	5	17	30	21181	17851	1258	1208	1074	1114	356	683	869	736	7869	12416	791	1389	2707	2975	740	97	697	939	7189	11249	21307	2445	400	5224	9661	532	254	67	258	9035	747	7013	2902	5537	2193	3549	187	128	0	102	28967	1376	18175	0	0	17984	18820	0	2	18	0	1	637	0	1464	15	91	69	116	22636	9468	11886	0	0
Total_reads_per_library	2144	29190	7484	9330	10749	16075	23798	9303	14011	3541	11400	10404	38452	43657	16802	6591	21708	29062	11296	6000	6307	6282	49466	82317	6315	12044	11743	21041	5120	8931	2990	3730	52258	53478	1064	441	17200	3418	20226	7064	5009	9836	3205	1865	2983	2086	24399	16992	9317	11289	12900	19702	5408	5477	14574	2830	37605	55640	14945	26891	20253	13815	4621	2124	4697	5867	42939	2544	1494	3817	1538	1846	1027	396	569	62482	48663	11389	16045	5700	5335	3115	6198	6852	5314	22353	36620	6725	7406	13876	11345	6393	3871	5518	3590	14821	23898	69970	21475	3011	38772	24841	6512	8991	2014	3398	29286	4563	23698	14262	24439	9207	10254	6740	3854	1751	2514	80553	9657	59372	3601	3610	24015	24693	13151	11502	3910	10325	21218	4785	9142	13276	985	4660	2139	8632	73265	12568	16736	3130	2961
