	16S-V1V2	16S-V4	COI-BF3BR2	ITS1a	ITS2	Unclassified	
EXPERIMENT_2_T_B01	658	2199	3	65	276	515	
EXPERIMENT_2_T_B02	11544	32803	17	2302	15164	8705	
EXPERIMENT_2_T_G01	7361	16082	116	1	5406	3625	
EXPERIMENT_2_T_G02	7681	17205	132	1	3085	3398	
EXPERIMENT_2_T_KE008_A01	3716	13905	1162	1073	810	3539	
EXPERIMENT_2_T_KE008_A02	5574	18492	1296	1217	1164	4108	
EXPERIMENT_2_T_KE008_A03	9055	30277	3128	1957	1926	7578	
EXPERIMENT_2_T_KE008_A04	3519	10802	2756	255	458	2928	
EXPERIMENT_2_T_KE008_A05	4418	14839	2895	1152	954	4145	
EXPERIMENT_2_T_KE008_A06	1085	5315	197	221	302	1194	
EXPERIMENT_2_T_KE008_A07	3966	12368	551	490	855	2969	
EXPERIMENT_2_T_KE008_A08	3356	11032	433	388	472	2588	
EXPERIMENT_2_T_KE008_A09	18300	45420	38	1408	3754	9610	
EXPERIMENT_2_T_KE008_A10	19812	49703	56	1953	3585	10330	
EXPERIMENT_2_T_KE008_B01	6005	30581	3684	3702	1797	7312	
EXPERIMENT_2_T_KE008_B02	2413	31868	4697	491	463	6281	
EXPERIMENT_2_T_KE008_B03	8134	33066	5090	2093	1492	7636	
EXPERIMENT_2_T_KE008_B04	10905	35289	4060	3797	2982	8339	
EXPERIMENT_2_T_KE008_B05	3693	14856	1420	3061	1492	3741	
EXPERIMENT_2_T_KE008_B06	2179	6241	1795	229	266	1839	
EXPERIMENT_2_T_KE008_B07	2043	6678	20	209	261	1361	
EXPERIMENT_2_T_KE008_B08	2160	6597	544	537	355	1560	
EXPERIMENT_2_T_KE008_B09	20788	53484	41	3567	2530	11348	
EXPERIMENT_2_T_KE008_B10	35535	90717	106	6506	6617	19259	
EXPERIMENT_2_T_KE008_C01	2255	7196	3360	295	315	2363	
EXPERIMENT_2_T_KE008_C02	3851	37778	5090	551	227	7386	
EXPERIMENT_2_T_KE008_C03	4075	14707	4779	476	454	4192	
EXPERIMENT_2_T_KE008_C04	8537	25540	1953	687	1315	5795	
EXPERIMENT_2_T_KE008_C05	1371	5604	1032	311	209	1441	
EXPERIMENT_2_T_KE008_C06	2618	13366	1520	734	1780	3236	
EXPERIMENT_2_T_KE008_C07	1135	3446	185	106	221	892	
EXPERIMENT_2_T_KE008_C08	1380	4517	799	547	1048	2080	
EXPERIMENT_2_T_KE008_C09	23448	62254	239	647	3406	11862	
EXPERIMENT_2_T_KE008_C10	26284	65251	282	844	3914	12263	
EXPERIMENT_2_T_L01	263	1121	2	45	74	289	
EXPERIMENT_2_T_L02	73	477	0	66	156	110	
EXPERIMENT_2_T_Neg_index1	0	0	0	0	0	0	
EXPERIMENT_2_T_Neg_index2	0	0	0	0	0	1	
EXPERIMENT_2_T_Neg_index3	0	0	0	0	0	1	
EXPERIMENT_2_T_Neg_PCR1	4875	17484	8	139	358	3396	
EXPERIMENT_2_T_Neg_PCR2	1213	3570	4	2845	6156	2170	
