Statistics	EXPERIMENT_2_T_B01	EXPERIMENT_2_T_B02	EXPERIMENT_2_T_G01	EXPERIMENT_2_T_G02	EXPERIMENT_2_T_KE008_A01	EXPERIMENT_2_T_KE008_A02	EXPERIMENT_2_T_KE008_A03	EXPERIMENT_2_T_KE008_A04	EXPERIMENT_2_T_KE008_A05	EXPERIMENT_2_T_KE008_A06	EXPERIMENT_2_T_KE008_A07	EXPERIMENT_2_T_KE008_A08	EXPERIMENT_2_T_KE008_A09	EXPERIMENT_2_T_KE008_A10	EXPERIMENT_2_T_KE008_B01	EXPERIMENT_2_T_KE008_B02	EXPERIMENT_2_T_KE008_B03	EXPERIMENT_2_T_KE008_B04	EXPERIMENT_2_T_KE008_B05	EXPERIMENT_2_T_KE008_B06	EXPERIMENT_2_T_KE008_B07	EXPERIMENT_2_T_KE008_B08	EXPERIMENT_2_T_KE008_B09	EXPERIMENT_2_T_KE008_B10	EXPERIMENT_2_T_KE008_C01	EXPERIMENT_2_T_KE008_C02	EXPERIMENT_2_T_KE008_C03	EXPERIMENT_2_T_KE008_C04	EXPERIMENT_2_T_KE008_C05	EXPERIMENT_2_T_KE008_C06	EXPERIMENT_2_T_KE008_C07	EXPERIMENT_2_T_KE008_C08	EXPERIMENT_2_T_KE008_C09	EXPERIMENT_2_T_KE008_C10	EXPERIMENT_2_T_L01	EXPERIMENT_2_T_L02	EXPERIMENT_2_T_Neg_PCR1	EXPERIMENT_2_T_Neg_PCR2	EXPERIMENT_2_T_PL010_A01	EXPERIMENT_2_T_PL010_A02	EXPERIMENT_2_T_PL010_A03	EXPERIMENT_2_T_PL010_A04	EXPERIMENT_2_T_PL010_A05	EXPERIMENT_2_T_PL010_A06	EXPERIMENT_2_T_PL010_A07	EXPERIMENT_2_T_PL010_A08	EXPERIMENT_2_T_PL010_A09	EXPERIMENT_2_T_PL010_A10	EXPERIMENT_2_T_PL010_B01	EXPERIMENT_2_T_PL010_B02	EXPERIMENT_2_T_PL010_B03	EXPERIMENT_2_T_PL010_B04	EXPERIMENT_2_T_PL010_B05	EXPERIMENT_2_T_PL010_B06	EXPERIMENT_2_T_PL010_B07	EXPERIMENT_2_T_PL010_B08	EXPERIMENT_2_T_PL010_B09	EXPERIMENT_2_T_PL010_B10	EXPERIMENT_2_T_PL010_C01	EXPERIMENT_2_T_PL010_C02	EXPERIMENT_2_T_PL010_C03	EXPERIMENT_2_T_PL010_C04	EXPERIMENT_2_T_PL010_C05	EXPERIMENT_2_T_PL010_C06	EXPERIMENT_2_T_PL010_C07	EXPERIMENT_2_T_PL010_C08	EXPERIMENT_2_T_PL010_C09	EXPERIMENT_2_T_PL015_A01	EXPERIMENT_2_T_PL015_A02	EXPERIMENT_2_T_PL015_A03	EXPERIMENT_2_T_PL015_A04	EXPERIMENT_2_T_PL015_A05	EXPERIMENT_2_T_PL015_A06	EXPERIMENT_2_T_PL015_A07	EXPERIMENT_2_T_PL015_A08	EXPERIMENT_2_T_PL015_A09	EXPERIMENT_2_T_PL015_A10	EXPERIMENT_2_T_PL015_B01	EXPERIMENT_2_T_PL015_B02	EXPERIMENT_2_T_PL015_B03	EXPERIMENT_2_T_PL015_B04	EXPERIMENT_2_T_PL015_B05	EXPERIMENT_2_T_PL015_B06	EXPERIMENT_2_T_PL015_B07	EXPERIMENT_2_T_PL015_B08	EXPERIMENT_2_T_PL015_B09	EXPERIMENT_2_T_PL015_B10	EXPERIMENT_2_T_PL015_C01	EXPERIMENT_2_T_PL015_C02	EXPERIMENT_2_T_PL015_C03	EXPERIMENT_2_T_PL015_C04	EXPERIMENT_2_T_PL015_C05	EXPERIMENT_2_T_PL015_C06	EXPERIMENT_2_T_PL015_C07	EXPERIMENT_2_T_PL015_C08	EXPERIMENT_2_T_PL015_C09	EXPERIMENT_2_T_PL015_C10	EXPERIMENT_2_T_Q10_A10	EXPERIMENT_2_T_Q11_B01	EXPERIMENT_2_T_Q12_B02	EXPERIMENT_2_T_Q13_B03	EXPERIMENT_2_T_Q14_B04	EXPERIMENT_2_T_Q15_B05	EXPERIMENT_2_T_Q16_B06	EXPERIMENT_2_T_Q17_B07	EXPERIMENT_2_T_Q18_B08	EXPERIMENT_2_T_Q19_B09	EXPERIMENT_2_T_Q1_A01	EXPERIMENT_2_T_Q20_B10	EXPERIMENT_2_T_Q21_C01	EXPERIMENT_2_T_Q22_C02	EXPERIMENT_2_T_Q23_C03	EXPERIMENT_2_T_Q24_C04	EXPERIMENT_2_T_Q25_C05	EXPERIMENT_2_T_Q26_C06	EXPERIMENT_2_T_Q27_C07	EXPERIMENT_2_T_Q28_C08	EXPERIMENT_2_T_Q29_C09	EXPERIMENT_2_T_Q2_A02	EXPERIMENT_2_T_Q30_C10	EXPERIMENT_2_T_Q31_B01	EXPERIMENT_2_T_Q32_B02	EXPERIMENT_2_T_Q33_R01	EXPERIMENT_2_T_Q34_R02	EXPERIMENT_2_T_Q35_G01	EXPERIMENT_2_T_Q36_G02	EXPERIMENT_2_T_Q37_L01	EXPERIMENT_2_T_Q38_L02	EXPERIMENT_2_T_Q39_Z01	EXPERIMENT_2_T_Q3_A03	EXPERIMENT_2_T_Q40_Z02	EXPERIMENT_2_T_Q4_A04	EXPERIMENT_2_T_Q5_A05	EXPERIMENT_2_T_Q6_A06	EXPERIMENT_2_T_Q7_A07	EXPERIMENT_2_T_Q8_A08	EXPERIMENT_2_T_Q9_A09	EXPERIMENT_2_T_R01	EXPERIMENT_2_T_R02	EXPERIMENT_2_T_Z01	EXPERIMENT_2_T_Z02
Symbionts_reads	0	323	4	4	6867	10123	14371	4357	5195	610	4315	2414	19476	18793	13330	3013	14862	18390	7764	1895	2840	2905	21607	37876	3317	6242	6580	12585	1892	2529	869	994	26323	24875	10	2	25	4	14274	3052	2190	5245	639	426	585	361	10777	7829	4995	6658	7101	8841	1912	1447	7556	1616	15793	21275	10260	16062	14995	7096	2638	1146	1335	1750	26565	848	591	1334	892	166	73	86	62	35579	25862	5130	9459	2416	1947	1210	2176	1270	1272	11514	19166	3015	3174	8651	5764	2875	690	1739	1266	6427	10806	42461	13659	1528	30003	8922	3463	3503	495	1139	18091	2519	14890	8884	14008	5010	4663	1393	757	371	467	45045	6193	38087	4	3	214	236	1	2	12	73	3	3130	1	8701	191	1264	296	2377	45374	126	171	4	10
Others_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbionts and Other_reads	0	323	4	4	6867	10123	14371	4357	5195	610	4315	2414	19476	18793	13330	3013	14862	18390	7764	1895	2840	2905	21607	37876	3317	6242	6580	12585	1892	2529	869	994	26323	24875	10	2	25	4	14274	3052	2190	5245	639	426	585	361	10777	7829	4995	6658	7101	8841	1912	1447	7556	1616	15793	21275	10260	16062	14995	7096	2638	1146	1335	1750	26565	848	591	1334	892	166	73	86	62	35579	25862	5130	9459	2416	1947	1210	2176	1270	1272	11514	19166	3015	3174	8651	5764	2875	690	1739	1266	6427	10806	42461	13659	1528	30003	8922	3463	3503	495	1139	18091	2519	14890	8884	14008	5010	4663	1393	757	371	467	45045	6193	38087	4	3	214	236	1	2	12	73	3	3130	1	8701	191	1264	296	2377	45374	126	171	4	10
PCR_Contaminants_reads	1655	959	10	14	598	528	1489	909	3772	2190	2564	2621	541	762	688	570	1017	1202	1825	2410	1194	1353	809	1840	774	980	1085	758	1598	3358	846	1090	434	635	340	199	17146	3358	1321	856	808	725	1084	796	1469	852	617	325	1171	1359	1276	944	1471	1527	2680	531	1033	1579	1423	592	765	1119	826	348	924	1610	944	734	385	513	233	1041	439	178	235	1453	1247	1506	2333	714	720	878	1505	1977	1424	557	778	1212	1027	648	1068	1005	1201	1427	651	257	392	950	1991	458	577	1060	1272	2632	773	1230	329	595	345	691	2137	899	786	3321	1722	1085	1197	750	1080	520	2111	1927	286	20	28	42	1787	3399	2831	387	2987	1269	485	2649	1299	4049	856	8	14	1166	513
Extraction_Contaminants_reads	221	28632	86	105	1243	1498	2412	1093	3041	294	2144	2644	2817	3420	1059	1988	1032	1716	673	698	855	817	3651	5418	625	1110	1017	1335	664	995	444	516	3909	4470	455	221	28	29	1698	1248	562	1233	584	329	641	506	2157	1291	1239	1567	1760	2165	1173	1126	2166	411	2790	3987	1177	1257	1324	1661	614	347	1080	1639	1115	559	268	451	175	389	253	67	117	2274	1534	2333	2102	881	895	294	878	1841	992	1286	3000	1251	1242	1328	977	969	1345	832	384	376	692	2221	2373	487	1669	3521	827	2102	515	325	1167	547	781	1329	2056	832	956	1041	596	133	398	4649	736	1051	667	1009	3337	3113	89	99	1756	6520	18029	476	5892	1510	221	463	303	1491	2009	2284	3373	1780	2388
PCR_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extraction_Spikeins_reads	268	208	1	1	284	230	568	295	997	218	691	810	341	390	484	306	400	447	302	565	175	554	244	455	168	146	317	309	481	798	76	411	279	234	259	44	0	0	597	508	487	139	236	236	138	229	171	259	321	152	303	412	137	548	821	180	395	287	304	354	335	460	201	185	318	48	335	161	118	200	57	112	246	37	128	548	434	1073	723	541	360	313	881	881	814	429	376	389	499	371	420	637	510	786	284	166	295	40	519	111	35	155	292	461	138	409	33	84	30	124	278	172	202	798	626	164	364	97	73	19	782	717	1	2	1	1	317	235	240	61	305	113	53	211	168	640	101	8	10	218	88
Algae_reads	0	13	7426	9254	101	795	467	126	109	0	22	0	1817	1315	71	11	357	778	16	39	371	0	597	1186	31	151	209	202	0	65	22	0	983	922	0	2	1	0	109	0	50	295	3	0	0	0	436	185	24	89	61	210	27	16	62	5	445	781	57	882	155	55	60	0	0	0	190	18	0	32	5	0	11	0	0	802	836	17	106	17	272	50	68	0	0	352	306	10	14	150	82	183	0	38	26	267	320	1748	350	8	1112	583	87	9	0	16	342	31	415	197	321	47	26	0	0	0	1	1032	140	1675	0	0	325	374	13051	11377	32	49	105	35	1	144	10	0	0	0	1539	161	207	0	1
Rotifers reads	0	54	0	0	1681	3001	4718	2531	910	229	1811	2045	13842	19268	1154	711	4061	7114	716	393	872	653	22772	35745	1423	3403	2531	5952	498	1206	733	755	20606	22683	0	0	0	0	2256	1458	925	2221	685	91	149	138	10399	7257	1599	1492	2439	7201	686	818	1377	109	17357	27919	1739	7813	2698	3415	282	107	1043	820	13992	212	135	1288	185	138	5	28	31	22081	18895	1385	1322	1137	1168	370	683	924	815	8264	13067	886	1519	2799	3078	740	97	696	979	7396	11580	22897	2655	414	5483	10715	569	284	67	293	9467	792	7298	3349	5881	2323	3742	187	141	0	90	29892	1461	18711	14	0	20251	21493	0	2	0	0	24	714	0	1577	22	91	85	116	23661	10426	13467	0	1
Total_reads_per_library	2144	30189	7527	9378	10774	16175	24025	9311	14024	3541	11547	10534	38834	43948	16786	6599	21729	29647	11296	6000	6307	6282	49680	82520	6338	12032	11739	21141	5133	8951	2990	3766	52534	53819	1064	468	17200	3391	20255	7122	5022	9858	3231	1878	2982	2086	24557	17146	9349	11317	12940	19773	5406	5482	14662	2852	37813	55828	14960	26960	20272	13806	4621	2133	4700	5867	43141	2532	1497	3818	1547	1846	1027	396	573	62737	48808	11444	16045	5706	5362	3115	6191	6893	5317	22402	36693	6763	7475	13947	11389	6409	3843	5518	3590	14889	24085	70317	21547	3006	38879	24956	6510	8991	1988	3412	29429	4568	23759	14574	24681	9283	10375	6740	3842	1753	2517	81465	9683	60063	3578	3656	24414	25238	13170	11523	3904	10276	21232	4803	9186	13314	982	4678	2151	8673	73540	13013	17242	3168	3001
