Statistics	EXPERIMENT_2_T_B01	EXPERIMENT_2_T_B02	EXPERIMENT_2_T_G01	EXPERIMENT_2_T_G02	EXPERIMENT_2_T_KE008_A01	EXPERIMENT_2_T_KE008_A02	EXPERIMENT_2_T_KE008_A03	EXPERIMENT_2_T_KE008_A04	EXPERIMENT_2_T_KE008_A05	EXPERIMENT_2_T_KE008_A06	EXPERIMENT_2_T_KE008_A07	EXPERIMENT_2_T_KE008_A08	EXPERIMENT_2_T_KE008_A09	EXPERIMENT_2_T_KE008_A10	EXPERIMENT_2_T_KE008_B01	EXPERIMENT_2_T_KE008_B02	EXPERIMENT_2_T_KE008_B03	EXPERIMENT_2_T_KE008_B04	EXPERIMENT_2_T_KE008_B05	EXPERIMENT_2_T_KE008_B06	EXPERIMENT_2_T_KE008_B07	EXPERIMENT_2_T_KE008_B08	EXPERIMENT_2_T_KE008_B09	EXPERIMENT_2_T_KE008_B10	EXPERIMENT_2_T_KE008_C01	EXPERIMENT_2_T_KE008_C02	EXPERIMENT_2_T_KE008_C03	EXPERIMENT_2_T_KE008_C04	EXPERIMENT_2_T_KE008_C05	EXPERIMENT_2_T_KE008_C06	EXPERIMENT_2_T_KE008_C07	EXPERIMENT_2_T_KE008_C08	EXPERIMENT_2_T_KE008_C09	EXPERIMENT_2_T_KE008_C10	EXPERIMENT_2_T_L01	EXPERIMENT_2_T_L02	EXPERIMENT_2_T_Neg_PCR1	EXPERIMENT_2_T_Neg_PCR2	EXPERIMENT_2_T_PL010_A01	EXPERIMENT_2_T_PL010_A02	EXPERIMENT_2_T_PL010_A03	EXPERIMENT_2_T_PL010_A04	EXPERIMENT_2_T_PL010_A05	EXPERIMENT_2_T_PL010_A06	EXPERIMENT_2_T_PL010_A07	EXPERIMENT_2_T_PL010_A08	EXPERIMENT_2_T_PL010_A09	EXPERIMENT_2_T_PL010_A10	EXPERIMENT_2_T_PL010_B01	EXPERIMENT_2_T_PL010_B02	EXPERIMENT_2_T_PL010_B03	EXPERIMENT_2_T_PL010_B04	EXPERIMENT_2_T_PL010_B05	EXPERIMENT_2_T_PL010_B06	EXPERIMENT_2_T_PL010_B07	EXPERIMENT_2_T_PL010_B08	EXPERIMENT_2_T_PL010_B09	EXPERIMENT_2_T_PL010_B10	EXPERIMENT_2_T_PL010_C01	EXPERIMENT_2_T_PL010_C02	EXPERIMENT_2_T_PL010_C03	EXPERIMENT_2_T_PL010_C04	EXPERIMENT_2_T_PL010_C05	EXPERIMENT_2_T_PL010_C06	EXPERIMENT_2_T_PL010_C07	EXPERIMENT_2_T_PL010_C08	EXPERIMENT_2_T_PL010_C09	EXPERIMENT_2_T_PL015_A01	EXPERIMENT_2_T_PL015_A02	EXPERIMENT_2_T_PL015_A03	EXPERIMENT_2_T_PL015_A04	EXPERIMENT_2_T_PL015_A05	EXPERIMENT_2_T_PL015_A06	EXPERIMENT_2_T_PL015_A07	EXPERIMENT_2_T_PL015_A08	EXPERIMENT_2_T_PL015_A09	EXPERIMENT_2_T_PL015_A10	EXPERIMENT_2_T_PL015_B01	EXPERIMENT_2_T_PL015_B02	EXPERIMENT_2_T_PL015_B03	EXPERIMENT_2_T_PL015_B04	EXPERIMENT_2_T_PL015_B05	EXPERIMENT_2_T_PL015_B06	EXPERIMENT_2_T_PL015_B07	EXPERIMENT_2_T_PL015_B08	EXPERIMENT_2_T_PL015_B09	EXPERIMENT_2_T_PL015_B10	EXPERIMENT_2_T_PL015_C01	EXPERIMENT_2_T_PL015_C02	EXPERIMENT_2_T_PL015_C03	EXPERIMENT_2_T_PL015_C04	EXPERIMENT_2_T_PL015_C05	EXPERIMENT_2_T_PL015_C06	EXPERIMENT_2_T_PL015_C07	EXPERIMENT_2_T_PL015_C08	EXPERIMENT_2_T_PL015_C09	EXPERIMENT_2_T_PL015_C10	EXPERIMENT_2_T_Q10_A10	EXPERIMENT_2_T_Q11_B01	EXPERIMENT_2_T_Q12_B02	EXPERIMENT_2_T_Q13_B03	EXPERIMENT_2_T_Q14_B04	EXPERIMENT_2_T_Q15_B05	EXPERIMENT_2_T_Q16_B06	EXPERIMENT_2_T_Q17_B07	EXPERIMENT_2_T_Q18_B08	EXPERIMENT_2_T_Q19_B09	EXPERIMENT_2_T_Q1_A01	EXPERIMENT_2_T_Q20_B10	EXPERIMENT_2_T_Q21_C01	EXPERIMENT_2_T_Q22_C02	EXPERIMENT_2_T_Q23_C03	EXPERIMENT_2_T_Q24_C04	EXPERIMENT_2_T_Q25_C05	EXPERIMENT_2_T_Q26_C06	EXPERIMENT_2_T_Q27_C07	EXPERIMENT_2_T_Q28_C08	EXPERIMENT_2_T_Q29_C09	EXPERIMENT_2_T_Q2_A02	EXPERIMENT_2_T_Q30_C10	EXPERIMENT_2_T_Q31_B01	EXPERIMENT_2_T_Q32_B02	EXPERIMENT_2_T_Q33_R01	EXPERIMENT_2_T_Q34_R02	EXPERIMENT_2_T_Q35_G01	EXPERIMENT_2_T_Q36_G02	EXPERIMENT_2_T_Q37_L01	EXPERIMENT_2_T_Q38_L02	EXPERIMENT_2_T_Q39_Z01	EXPERIMENT_2_T_Q3_A03	EXPERIMENT_2_T_Q40_Z02	EXPERIMENT_2_T_Q4_A04	EXPERIMENT_2_T_Q5_A05	EXPERIMENT_2_T_Q6_A06	EXPERIMENT_2_T_Q7_A07	EXPERIMENT_2_T_Q8_A08	EXPERIMENT_2_T_Q9_A09	EXPERIMENT_2_T_R01	EXPERIMENT_2_T_R02	EXPERIMENT_2_T_Z01	EXPERIMENT_2_T_Z02
Symbionts_reads	414	29162	7520	9365	9977	15497	22585	8233	9806	1424	8548	7658	38025	42897	15676	5766	20438	28198	9402	3425	5144	4449	48802	80766	5549	10977	10534	20177	3279	5215	2169	2359	51882	53053	469	274	14033	995	18750	5898	3806	9047	2043	943	1513	1081	23874	16639	8012	9977	11488	18544	3909	3578	11477	2186	36628	54079	13386	26069	19231	12454	3645	1637	3564	4331	41938	1714	1068	3184	1284	855	382	199	231	60895	47218	9014	13338	4489	4398	2068	4046	4295	3180	21470	35641	5225	6032	13058	9957	4959	2298	3472	2742	14479	23488	69419	19377	2527	38337	23977	5215	6316	1315	2050	29113	3988	23495	13867	22601	8370	9472	3263	1701	553	1082	80773	8657	59591	1057	1358	24402	25222	13147	11494	2285	8461	19018	4432	6567	12209	500	2070	849	4853	72742	12998	17221	1987	2645
Others_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbionts and Other_reads	414	29162	7520	9365	9977	15497	22585	8233	9806	1424	8548	7658	38025	42897	15676	5766	20438	28198	9402	3425	5144	4449	48802	80766	5549	10977	10534	20177	3279	5215	2169	2359	51882	53053	469	274	14033	995	18750	5898	3806	9047	2043	943	1513	1081	23874	16639	8012	9977	11488	18544	3909	3578	11477	2186	36628	54079	13386	26069	19231	12454	3645	1637	3564	4331	41938	1714	1068	3184	1284	855	382	199	231	60895	47218	9014	13338	4489	4398	2068	4046	4295	3180	21470	35641	5225	6032	13058	9957	4959	2298	3472	2742	14479	23488	69419	19377	2527	38337	23977	5215	6316	1315	2050	29113	3988	23495	13867	22601	8370	9472	3263	1701	553	1082	80773	8657	59591	1057	1358	24402	25222	13147	11494	2285	8461	19018	4432	6567	12209	500	2070	849	4853	72742	12998	17221	1987	2645
PCR_Contaminants_reads	1462	819	6	12	513	448	872	783	3221	1899	2308	2066	468	661	626	527	891	1002	1592	2010	988	1279	634	1299	621	909	888	655	1373	2938	745	996	373	532	336	150	3167	2396	908	716	729	672	952	699	1331	776	512	248	1016	1188	1149	817	1360	1356	2364	486	790	1462	1270	537	706	892	775	311	818	1488	868	657	311	434	206	879	399	160	214	1294	1156	1357	1984	676	604	734	1264	1717	1323	503	676	1149	944	518	1012	813	1035	1260	564	244	302	858	1651	368	507	824	1003	2214	535	953	283	496	234	583	1802	741	701	2679	1515	1036	1071	595	953	453	1739	1581	11	14	22	28	1302	1580	1974	310	2314	992	429	2397	1134	3180	697	7	11	963	268
Extraction_Contaminants_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCR_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extraction_Spikeins_reads	268	208	1	1	284	230	568	295	997	218	691	810	341	390	484	306	400	447	302	565	175	554	244	455	168	146	317	309	481	798	76	411	279	234	259	44	0	0	597	508	487	139	236	236	138	229	171	259	321	152	303	412	137	548	821	180	395	287	304	354	335	460	201	185	318	48	335	161	118	200	57	112	246	37	128	548	434	1073	723	541	360	313	881	881	814	429	376	389	499	371	420	637	510	786	284	166	295	40	519	111	35	155	292	461	138	409	33	84	30	124	278	172	202	798	626	164	364	97	73	19	782	717	1	2	1	1	317	235	240	61	305	113	53	211	168	640	101	8	10	218	88
Algae_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rotifers reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Total_reads_per_library	2144	30189	7527	9378	10774	16175	24025	9311	14024	3541	11547	10534	38834	43948	16786	6599	21729	29647	11296	6000	6307	6282	49680	82520	6338	12032	11739	21141	5133	8951	2990	3766	52534	53819	1064	468	17200	3391	20255	7122	5022	9858	3231	1878	2982	2086	24557	17146	9349	11317	12940	19773	5406	5482	14662	2852	37813	55828	14960	26960	20272	13806	4621	2133	4700	5867	43141	2532	1497	3818	1547	1846	1027	396	573	62737	48808	11444	16045	5706	5362	3115	6191	6893	5317	22402	36693	6763	7475	13947	11389	6409	3843	5518	3590	14889	24085	70317	21547	3006	38879	24956	6510	8991	1988	3412	29429	4568	23759	14574	24681	9283	10375	6740	3842	1753	2517	81465	9683	60063	3578	3656	24414	25238	13170	11523	3904	10276	21232	4803	9186	13314	982	4678	2151	8673	73540	13013	17242	3168	3001
