Statistics	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
Symbionts_reads	11059	11035	8931	9017	4499	7323	2708	5645	6367	7543	2052	6060	16212	3566	18271	19976	8029	1989	11024	4569	3158	1936	8225	1569	9570	12904	8786	5289	9686	9009	2278	2136	9711	7948	2709	2831	8504	9258	10890	9509	5023	5672	3886	1100	5002	8952	7517	4122	5195	12571	4157	3751	3482	7474	87	57	17	24	0	0	0	0	0	0	0
Others_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbionts and Other_reads	11059	11035	8931	9017	4499	7323	2708	5645	6367	7543	2052	6060	16212	3566	18271	19976	8029	1989	11024	4569	3158	1936	8225	1569	9570	12904	8786	5289	9686	9009	2278	2136	9711	7948	2709	2831	8504	9258	10890	9509	5023	5672	3886	1100	5002	8952	7517	4122	5195	12571	4157	3751	3482	7474	87	57	17	24	0	0	0	0	0	0	0
PCR_Contaminants_reads	186	555	449	143	727	500	1078	1281	245	618	449	1261	150	1000	132	177	148	333	284	354	465	182	81	82	480	345	377	251	642	471	1286	1324	418	264	431	570	300	319	1233	615	250	267	1190	1413	523	779	1357	872	589	448	941	481	701	283	11	9	4	4	620	694	367	503	739	763	1734
Extraction_Contaminants_reads	1641	685	197	1256	356	1992	238	658	78	380	97	591	317	281	460	500	183	230	611	333	555	321	270	99	886	1394	348	286	799	891	437	452	3059	3034	32	275	2289	2062	1221	269	772	706	292	118	971	916	375	211	2028	1184	130	229	657	476	373	367	1	2	83	117	122	143	202	186	0
PCR_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extraction_Spikeins_reads	9	19	4	11	31	38	85	28	39	38	21	0	20	63	9	27	7	19	9	22	31	18	3	4	7	36	22	36	84	27	50	249	45	14	49	47	20	17	64	60	18	30	55	24	50	12	453	129	9	36	16	43	59	34	0	0	1	1	156	40	21	9	44	71	14
Algae_reads	644	316	242	581	67	334	1	153	99	536	14	222	612	129	473	604	372	69	321	217	47	16	147	36	160	162	310	209	274	183	37	13	117	101	17	57	423	373	343	81	133	195	58	18	144	254	356	119	149	219	247	163	383	416	213	160	5941	9419	0	0	0	0	0	0	0
Rotifers reads	1355	1949	286	2444	50	6401	99	2886	153	1548	20	2642	660	2358	484	1090	446	645	900	1085	2563	938	1327	242	1912	2376	1573	1082	4031	2113	96	0	1577	946	77	269	3861	3693	3148	106	2218	2380	340	461	3359	2713	546	254	9783	6316	213	303	6692	4028	8818	6785	52	122	0	0	0	0	0	0	1
Total_reads_per_library	14894	14559	10109	13452	5730	16588	4209	10651	6981	10663	2653	10776	17971	7397	19829	22374	9185	3285	13149	6580	6819	3411	10053	2032	13015	17217	11416	7153	15516	12694	4184	4174	14927	12307	3315	4049	15397	15722	16899	10640	8414	9250	5821	3134	10049	13626	10604	5707	17753	20774	5704	4970	11974	12711	9502	7378	6016	9572	859	851	510	655	985	1020	1749
