#OTU ID	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
OTU37	191	177	31	156	30	0	29	1	7	8	1	0	95	0	47	55	61	41	94	8	2	6	130	14	52	79	115	66	112	288	1	54	34	53	17	37	448	476	59	50	40	52	10	0	1	21	97	0	24	78	43	6	9	32	12	13	1	0	0	0	8	3	0	0	0
OTU300	0	0	1	0	0	0	17	8	1	0	23	1	0	0	0	0	0	0	1	0	0	1	1	1	6	0	0	0	12	0	20	0	1	0	0	0	0	0	0	26	0	0	15	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	5	10	0	0	0
OTU2	142	399	283	104	467	385	479	496	191	453	341	973	105	731	90	132	72	248	110	67	310	80	61	35	235	273	217	186	481	335	800	885	256	211	293	425	190	245	725	428	180	200	919	1024	385	340	1001	646	382	296	709	347	450	234	7	5	3	4	488	441	270	367	547	586	1338
OTU10	506	2714	894	726	103	660	59	377	2	169	6	238	22	0	56	117	11	20	12	18	5	8	1	4	46	49	290	502	881	1204	243	166	1188	1225	0	70	647	603	820	263	270	443	700	55	317	1410	405	153	165	1073	194	14	40	246	1	0	2	2	0	0	0	0	0	0	0
OTU65	8	0	5	0	0	0	0	0	1	0	4	0	2	0	0	0	2	0	40	18	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	1	0	8	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU58	44	85	484	25	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	3	0	0	0	0	15	0	12	9	167	117	237	271	0	0	0	0	0	0	0	0	19	16	15	0	136	65	48	70	0	0	0	0	0	0	0	0	0	0	0
OTU88	14	85	16	96	8	283	17	32	0	51	0	9	131	48	38	43	74	134	0	0	0	0	2	1	11	9	66	128	126	232	16	0	33	43	0	22	97	95	23	11	15	57	0	0	0	0	0	0	0	5	229	60	15	308	0	0	0	0	0	0	0	0	0	0	0
OTU54	2	30	13	0	24	4	31	0	10	31	10	33	5	19	3	1	5	7	1	2	0	18	0	3	10	11	6	7	2	6	33	18	7	13	12	16	12	2	14	14	1	7	16	0	4	22	0	25	6	18	31	30	0	0	0	0	1	1	51	0	3	25	26	33	16
OTU5	80	1183	39	39	97	82	11	85	16	82	0	10	336	155	119	225	187	358	6	13	0	10	52	32	310	580	408	399	551	856	104	388	950	529	77	170	476	534	616	198	112	148	241	55	78	302	1364	597	422	3517	295	155	15	723	0	0	0	0	0	0	0	0	0	0	0
OTU27	1230	787	524	654	16	505	15	61	14	47	0	120	100	99	34	53	82	86	42	64	30	48	3	4	44	66	24	43	104	160	10	136	218	236	7	48	490	496	66	37	36	78	192	0	11	272	161	27	21	175	200	84	66	406	0	0	2	0	0	0	0	0	0	0	0
