Statistics	EXPERIMENT_3_T_A01	EXPERIMENT_3_T_A02	EXPERIMENT_3_T_A03	EXPERIMENT_3_T_A04	EXPERIMENT_3_T_A05	EXPERIMENT_3_T_A06	EXPERIMENT_3_T_A07	EXPERIMENT_3_T_A08	EXPERIMENT_3_T_A09	EXPERIMENT_3_T_A10	EXPERIMENT_3_T_B01	EXPERIMENT_3_T_B02	EXPERIMENT_3_T_B03	EXPERIMENT_3_T_B04	EXPERIMENT_3_T_B05	EXPERIMENT_3_T_B06	EXPERIMENT_3_T_B07	EXPERIMENT_3_T_B08	EXPERIMENT_3_T_B09	EXPERIMENT_3_T_B10	EXPERIMENT_3_T_C01	EXPERIMENT_3_T_C02	EXPERIMENT_3_T_C03	EXPERIMENT_3_T_C04	EXPERIMENT_3_T_C05	EXPERIMENT_3_T_C06	EXPERIMENT_3_T_C07	EXPERIMENT_3_T_C08	EXPERIMENT_3_T_C09	EXPERIMENT_3_T_C10	EXPERIMENT_3_T_D01	EXPERIMENT_3_T_D02	EXPERIMENT_3_T_D03	EXPERIMENT_3_T_D04	EXPERIMENT_3_T_D05	EXPERIMENT_3_T_D06	EXPERIMENT_3_T_D07	EXPERIMENT_3_T_D08	EXPERIMENT_3_T_D09	EXPERIMENT_3_T_D10	EXPERIMENT_3_T_E01	EXPERIMENT_3_T_E02	EXPERIMENT_3_T_E03	EXPERIMENT_3_T_E04	EXPERIMENT_3_T_E05	EXPERIMENT_3_T_E06	EXPERIMENT_3_T_E07	EXPERIMENT_3_T_E08	EXPERIMENT_3_T_E09	EXPERIMENT_3_T_E10	EXPERIMENT_3_T_F01	EXPERIMENT_3_T_F02	EXPERIMENT_3_T_F03	EXPERIMENT_3_T_F04	EXPERIMENT_3_T_F05	EXPERIMENT_3_T_F06	EXPERIMENT_3_T_F07	EXPERIMENT_3_T_F08	EXPERIMENT_3_T_F09	EXPERIMENT_3_T_F10	EXPERIMENT_3_T_KN_hom1	EXPERIMENT_3_T_KN_hom2	EXPERIMENT_3_T_KN_hom_pl1	EXPERIMENT_3_T_KN_hom_pl2	EXPERIMENT_3_T_Neg_PCR
Symbionts_reads	11000	11011	8907	8961	4490	7301	2729	5647	6415	7535	2038	6098	16175	3532	18235	19933	8002	1987	11298	4565	3143	1936	8196	1567	9530	12912	8746	5270	9664	9012	2269	2138	9672	7918	2708	2840	8505	9254	10901	9457	4999	5642	3871	1129	4975	8915	7517	4157	5200	12504	4123	3612	3489	7465	94	61	18	26	0	0	0	0	0	0	0
Others_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbionts and Other_reads	11000	11011	8907	8961	4490	7301	2729	5647	6415	7535	2038	6098	16175	3532	18235	19933	8002	1987	11298	4565	3143	1936	8196	1567	9530	12912	8746	5270	9664	9012	2269	2138	9672	7918	2708	2840	8505	9254	10901	9457	4999	5642	3871	1129	4975	8915	7517	4157	5200	12504	4123	3612	3489	7465	94	61	18	26	0	0	0	0	0	0	0
PCR_Contaminants_reads	186	555	449	143	727	500	1078	1281	242	618	448	1261	145	1000	125	177	148	333	276	354	468	182	81	82	480	345	374	253	642	471	1286	1296	421	264	427	545	300	319	1229	604	250	267	1190	1396	523	779	1357	874	589	448	950	481	701	283	11	9	4	4	620	699	367	508	739	763	1734
Extraction_Contaminants_reads	1649	685	197	1267	359	1992	229	659	81	381	95	577	320	281	462	507	183	230	612	333	571	321	270	99	888	1395	346	286	799	891	437	452	3056	3034	32	275	2289	2065	1209	267	771	708	292	118	971	916	375	213	2028	1180	130	237	657	476	375	373	1	2	73	111	122	118	198	181	0
PCR_Spikeins_reads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extraction_Spikeins_reads	9	19	4	11	31	38	85	28	39	38	21	0	20	63	9	27	7	19	9	22	31	18	3	4	7	36	22	36	84	27	50	249	45	14	49	47	20	17	64	60	18	30	55	24	50	12	453	129	9	36	16	43	59	34	0	0	1	1	156	40	21	9	44	71	14
Algae_reads	647	316	242	581	75	337	1	153	99	536	14	222	614	129	475	605	377	69	333	219	40	16	147	36	160	162	310	209	277	186	37	13	117	101	20	57	423	371	343	81	133	196	58	18	144	265	356	119	151	228	247	163	383	416	215	165	5939	9413	0	0	0	0	0	0	0
Rotifers reads	1381	1986	298	2445	48	6410	101	2897	157	1586	20	2642	701	2378	514	1115	464	647	901	1080	2563	944	1334	242	1922	2349	1593	1087	4028	2117	96	0	1568	955	77	269	3870	3724	3148	100	2216	2385	340	461	3380	2738	562	254	10016	6496	213	302	6703	4042	9186	7110	46	109	0	0	0	0	0	0	1
Total_reads_per_library	14872	14572	10097	13408	5730	16578	4223	10665	7033	10694	2636	10800	17975	7383	19820	22364	9181	3285	13429	6573	6816	3417	10031	2030	12987	17199	11391	7141	15494	12704	4175	4148	14879	12286	3313	4033	15407	15750	16894	10569	8387	9228	5806	3146	10043	13625	10620	5746	17993	20892	5679	4838	11992	12716	9881	7718	6009	9555	849	850	510	635	981	1015	1749
