	"MIODUCHOWSKA2021_1aHe_S13_L001"	"MIODUCHOWSKA2021_2cHe_S12_L001"	"MIODUCHOWSKA2021_5aPar_S9_L001"	"MIODUCHOWSKA2021_6aBT_S8_L001"	"MIODUCHOWSKA2021_7aMac_S7_L001"	"MIODUCHOWSKA2021_ANT7N_1_S2_L001"	"MIODUCHOWSKA2021_ANT7N_6eg_S1_L001"	"MIODUCHOWSKA2021_SC_16S_S19_L001"	"PAM_EX_SRR9312602"	"PAM_EX_SRR9312603"	"PAM_EX_SRR9312604"	"PAM_EX_SRR9312605"	"PAM_EX_SRR9312606"	"DAST_SRR8837415"	"MALZE_SRR8842347"	"MALZE_SRR8842348"	"MALZE_SRR8842349"	"MALZE_SRR8842350"	"MALZE_SRR8842351"	"MALZE_SRR8842352"	"MALZE_SRR8842353"	"MALZE_SRR8842354"	"MALZE_SRR8842355"	"MALZE_SRR8842356"	"MALZE_SRR8842357"	"MALZE_SRR8842358"	"MALZE_SRR8842359"	"MALZE_SRR8842360"	"MALZE_SRR8842361"	"MALZE_SRR8842362"	"MALZE_SRR8842363"	"MALZE_SRR8842364"
"OTU1"	0,65531848783014	0,595485040630953	0,215762003023515	0,400152632917833	0,523189959953754	0,006775656519023	0,023719632304662	0,537011522406948	0,002281555868433	0,00012154561828	0,000802715471767	0,502184163791872	0,600760365071179	0,164371530367056	0,571681734899228	0,105143412736996	0,163543184444556	0,302826188399034	0,560229235358769	0,41997078741203	0,030022425287181	0,143911919507523	0,395910472506217	0,641769059423726	0,165303826586295	0,1375	0,063008559653387	0,290868476274284	0,236479704500743	0,147502048871866	0,057003922125402	0,377705398269316
"OTU4"	3,10719834282755E-05	0,00198783372139	0,015492755702195	0	0,02730349692532	0,985864812752899	0,022882468811556	0,054836042987049	0,005869281267493	0,009966740698998	0,046511627906977	0,004378533956603	0,001163334572624	0,001143425304499	0,001261526447001	0,000350024307244	0	8,11540100225202E-05	0	0,005656619306865	0	0	0	0	0	0,000842318059299	0,000739723132199	0	0,00014052274461	0,000150529361588	0,000532415212877	0
"OTU6"	0	0	0,063802787371859	0,015194802653465	2,51336271175081E-05	0	0	0	0,01449508914183	0,308493828797472	0,089273427824412	2,04127457184266E-05	0	0	0	0	0,001130482841783	0	0	0	0,000167808271422	0	0	0	0	0,001398247978437	0	0	0	0,000485039054007	0	0
"OTU7"	0,05568099430347	0,092553906185292	0,003994570914668	0,015096961039469	0,030889227727418	9,50492898460202E-05	8,20748522652659E-05	0,002531051304818	6,78529626299808E-05	0	1,14673638823907E-05	0,018024454469371	0,000383780477567	0,001590852597564	0,026642237106899	0,000291686922703	0,000401949454856	0,024021586966666	0,00128748626158	0,00395697782499	0,00015255297402	0,258345887035281	0,003757944183476	0,002389164331393	0,00859680642074	0,002425876010782	7,92560498784741E-05	0,000157945802026	0,045589593287028	3,34509692418338E-05	0,000461426517827	0,037369668703143
"OTU10"	0,104536509580528	0,10492264934061	0,029385476093266	0,062677337925367	0,103567299475545	9,50492898460202E-05	0,006713722915299	0,04157864119286	0,001374022493257	0,000265190439885	0,000584835558002	0,139500704239727	0,155874839591754	0,002601706852266	0,024900129156279	0,006358774914925	0,04263176405567	0,007263283897016	0,021808761187	0,021139290930819	0	0	0,003757944183476	0,020209096788101	1,67906375405074E-05	0	0,004781781676001	0	0,011342192957803	0,016474602351603	0	0,0125079499682
"OTU11"	0,016292076644226	0,021166747959249	0,002604195402933	0,006046611744907	0,030973006484476	1,35784699780029E-05	0,000295469468155	0,055723952114142	0	0	0	0,028965686174447	0,058598481668486	0,00598226862209	0,015678971555582	0,001166747690812	0,003567301411847	0,02446793402179	0,030915371329879	0,021404859912362	0,001479763847996	0,002213171158102	0,0024868748273	0,018682187253	0,008999781721712	0,007530323450135	0,003223079361725	0,009476748121573	0,018729674388726	0,008463095218184	0,004365804745594	0,016015572301347
"OTU17"	4,14293112377007E-05	0,034428175702414	0,019410083532878	0,009950492143318	0,05305708684506	0,000529560329142	0,001198292843073	0,036649214659686	0,000178114026904	7,73472116330206E-05	4,58694555295629E-05	0,01103308906081	0	0,003827989062888	0,016099480371249	0,000175012153622	0,012535798623323	0,008054535494735	0,075427853666196	0,030593546673749	0,001418742658388	0,014655284643568	0,025716127843788	0,035675792196594	0,005826351226556	0,010899595687332	0,001558702314277	0,037839301428281	0,013470108804754	0,007442840656308	0,010169130565957	0,016825023608997
"OTU29"	8,28586224754013E-05	0,027452351809757	0,00338766096907	0,031495215545076	0,011134196813056	0,000257990929582	0,000574523965857	0,039394588857251	0	2,20992033237202E-05	5,73368194119536E-05	0,018361264773725	0,006740144637267	0,009694258016406	0,031808488270808	0	0,002738280661207	0,010164539755321	4,71031559114461E-05	0,007462488381357	0,001998443959665	0,013186036563819	0,019471308833011	0,06321405475318	0,006313279715231	0,002762803234501	0,004517594843073	0,023060087095828	0,021098486369294	0	0,004081849965393	0,013895580781313
"OTU33"	0	0,003055374053248	0	0	0	1,35784699780029E-05	0,147800393959291	0	0	0	0	0	0	0,10476427210208	0	0,000563928050559	0,001281213887354	0,003022986873339	0,000235515779557	0,000106227592617	0,001800125093439	0,019751157730291	1,84212950170397E-05	5,3890924768269E-05	0,003223802407777	0,06858153638814	0,034925499313114	0,041449491188881	0,008491588710001	0	0,056152057784798	1,92726501821265E-05
"others"	0,168016571724495	0,118947920597086	0,646160466989616	0,459385946030566	0,219860592148255	0,006354723949705	0,796733420879842	0,232274986477246	0,975734084239453	0,681053248030409	0,862712719600018	0,277531690787728	0,176479053981123	0,706023697075151	0,311927432192953	0,88595041322314	0,772170024619404	0,620097790582077	0,310048673261109	0,48970920196521	0,962960137907889	0,547936543361416	0,548880906327715	0,218006754329238	0,801719361284148	0,768059299191375	0,887165803656346	0,597147950089127	0,644658128237042	0,819448393517202	0,867233393082152	0,525661533717501
