"#OTU_ID"	"EXPERIMENT_2_T_B01"	"EXPERIMENT_2_T_B02"	"EXPERIMENT_2_T_G01"	"EXPERIMENT_2_T_G02"	"EXPERIMENT_2_T_KE008_A01"	"EXPERIMENT_2_T_KE008_A02"	"EXPERIMENT_2_T_KE008_A03"	"EXPERIMENT_2_T_KE008_A04"	"EXPERIMENT_2_T_KE008_A05"	"EXPERIMENT_2_T_KE008_A06"	"EXPERIMENT_2_T_KE008_A07"	"EXPERIMENT_2_T_KE008_A08"	"EXPERIMENT_2_T_KE008_A09"	"EXPERIMENT_2_T_KE008_A10"	"EXPERIMENT_2_T_KE008_B01"	"EXPERIMENT_2_T_KE008_B02"	"EXPERIMENT_2_T_KE008_B03"	"EXPERIMENT_2_T_KE008_B04"	"EXPERIMENT_2_T_KE008_B05"	"EXPERIMENT_2_T_KE008_B06"	"EXPERIMENT_2_T_KE008_B07"	"EXPERIMENT_2_T_KE008_B08"	"EXPERIMENT_2_T_KE008_B09"	"EXPERIMENT_2_T_KE008_B10"	"EXPERIMENT_2_T_KE008_C01"	"EXPERIMENT_2_T_KE008_C02"	"EXPERIMENT_2_T_KE008_C03"	"EXPERIMENT_2_T_KE008_C04"	"EXPERIMENT_2_T_KE008_C05"	"EXPERIMENT_2_T_KE008_C06"	"EXPERIMENT_2_T_KE008_C07"	"EXPERIMENT_2_T_KE008_C08"	"EXPERIMENT_2_T_KE008_C09"	"EXPERIMENT_2_T_KE008_C10"	"EXPERIMENT_2_T_L01"	"EXPERIMENT_2_T_L02"	"EXPERIMENT_2_T_Neg_PCR1"	"EXPERIMENT_2_T_Neg_PCR2"	"EXPERIMENT_2_T_PL010_A01"	"EXPERIMENT_2_T_PL010_A02"	"EXPERIMENT_2_T_PL010_A03"	"EXPERIMENT_2_T_PL010_A04"	"EXPERIMENT_2_T_PL010_A05"	"EXPERIMENT_2_T_PL010_A06"	"EXPERIMENT_2_T_PL010_A07"	"EXPERIMENT_2_T_PL010_A08"	"EXPERIMENT_2_T_PL010_A09"	"EXPERIMENT_2_T_PL010_A10"	"EXPERIMENT_2_T_PL010_B01"	"EXPERIMENT_2_T_PL010_B02"	"EXPERIMENT_2_T_PL010_B03"	"EXPERIMENT_2_T_PL010_B04"	"EXPERIMENT_2_T_PL010_B05"	"EXPERIMENT_2_T_PL010_B06"	"EXPERIMENT_2_T_PL010_B07"	"EXPERIMENT_2_T_PL010_B08"	"EXPERIMENT_2_T_PL010_B09"	"EXPERIMENT_2_T_PL010_B10"	"EXPERIMENT_2_T_PL010_C01"	"EXPERIMENT_2_T_PL010_C02"	"EXPERIMENT_2_T_PL010_C03"	"EXPERIMENT_2_T_PL010_C04"	"EXPERIMENT_2_T_PL010_C05"	"EXPERIMENT_2_T_PL010_C06"	"EXPERIMENT_2_T_PL010_C07"	"EXPERIMENT_2_T_PL010_C08"	"EXPERIMENT_2_T_PL010_C09"	"EXPERIMENT_2_T_PL015_A01"	"EXPERIMENT_2_T_PL015_A02"	"EXPERIMENT_2_T_PL015_A03"	"EXPERIMENT_2_T_PL015_A04"	"EXPERIMENT_2_T_PL015_A05"	"EXPERIMENT_2_T_PL015_A06"	"EXPERIMENT_2_T_PL015_A07"	"EXPERIMENT_2_T_PL015_A08"	"EXPERIMENT_2_T_PL015_A09"	"EXPERIMENT_2_T_PL015_A10"	"EXPERIMENT_2_T_PL015_B01"	"EXPERIMENT_2_T_PL015_B02"	"EXPERIMENT_2_T_PL015_B03"	"EXPERIMENT_2_T_PL015_B04"	"EXPERIMENT_2_T_PL015_B05"	"EXPERIMENT_2_T_PL015_B06"	"EXPERIMENT_2_T_PL015_B07"	"EXPERIMENT_2_T_PL015_B08"	"EXPERIMENT_2_T_PL015_B09"	"EXPERIMENT_2_T_PL015_B10"	"EXPERIMENT_2_T_PL015_C01"	"EXPERIMENT_2_T_PL015_C02"	"EXPERIMENT_2_T_PL015_C03"	"EXPERIMENT_2_T_PL015_C04"	"EXPERIMENT_2_T_PL015_C05"	"EXPERIMENT_2_T_PL015_C06"	"EXPERIMENT_2_T_PL015_C07"	"EXPERIMENT_2_T_PL015_C08"	"EXPERIMENT_2_T_PL015_C09"	"EXPERIMENT_2_T_PL015_C10"	"EXPERIMENT_2_T_Q10_A10"	"EXPERIMENT_2_T_Q11_B01"	"EXPERIMENT_2_T_Q12_B02"	"EXPERIMENT_2_T_Q13_B03"	"EXPERIMENT_2_T_Q14_B04"	"EXPERIMENT_2_T_Q15_B05"	"EXPERIMENT_2_T_Q16_B06"	"EXPERIMENT_2_T_Q17_B07"	"EXPERIMENT_2_T_Q18_B08"	"EXPERIMENT_2_T_Q19_B09"	"EXPERIMENT_2_T_Q1_A01"	"EXPERIMENT_2_T_Q20_B10"	"EXPERIMENT_2_T_Q21_C01"	"EXPERIMENT_2_T_Q22_C02"	"EXPERIMENT_2_T_Q23_C03"	"EXPERIMENT_2_T_Q24_C04"	"EXPERIMENT_2_T_Q25_C05"	"EXPERIMENT_2_T_Q26_C06"	"EXPERIMENT_2_T_Q27_C07"	"EXPERIMENT_2_T_Q28_C08"	"EXPERIMENT_2_T_Q29_C09"	"EXPERIMENT_2_T_Q2_A02"	"EXPERIMENT_2_T_Q30_C10"	"EXPERIMENT_2_T_Q31_B01"	"EXPERIMENT_2_T_Q32_B02"	"EXPERIMENT_2_T_Q33_R01"	"EXPERIMENT_2_T_Q34_R02"	"EXPERIMENT_2_T_Q35_G01"	"EXPERIMENT_2_T_Q36_G02"	"EXPERIMENT_2_T_Q37_L01"	"EXPERIMENT_2_T_Q38_L02"	"EXPERIMENT_2_T_Q39_Z01"	"EXPERIMENT_2_T_Q3_A03"	"EXPERIMENT_2_T_Q40_Z02"	"EXPERIMENT_2_T_Q4_A04"	"EXPERIMENT_2_T_Q5_A05"	"EXPERIMENT_2_T_Q6_A06"	"EXPERIMENT_2_T_Q7_A07"	"EXPERIMENT_2_T_Q8_A08"	"EXPERIMENT_2_T_Q9_A09"	"EXPERIMENT_2_T_R01"	"EXPERIMENT_2_T_R02"	"EXPERIMENT_2_T_Z01"	"EXPERIMENT_2_T_Z02"
"OTU37"	1	74	0	0	134	112	225	61	200	0	0	80	263	270	111	23	52	598	113	0	0	18	117	122	22	20	1	85	70	0	0	22	105	70	34	15	7	0	57	87	7	20	12	0	0	19	11	6	154	60	188	105	6	57	137	29	160	9	124	141	107	169	106	33	73	97	515	42	10	2	3	14	0	4	1	68	72	111	118	60	31	0	55	0	14	42	108	142	163	250	322	172	36	169	71	20	48	141	77	37	48	31	32	17	3	0	20	46	14	157	238	70	58	90	20	0	8	220	62	215	0	0	11	15	0	0	73	312	319	20	319	79	3	3	0	0	261	16	9	43	9
"OTU300"	18	0	0	0	0	0	99	25	0	0	0	0	0	9	0	0	0	0	15	0	0	9	0	0	0	0	0	18	0	0	0	0	0	0	0	0	147	55	0	0	0	0	24	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	4	0	0	0	0	0	1	0	39
"OTU2"	1462	819	6	12	513	448	872	783	3221	1899	2308	2066	468	661	626	527	891	1002	1592	2010	988	1279	634	1299	621	909	888	655	1373	2938	745	996	373	532	336	150	3167	2396	908	716	729	672	952	699	1331	776	512	248	1016	1188	1149	817	1360	1356	2364	486	790	1462	1270	537	706	892	775	311	818	1488	868	657	311	434	206	879	399	160	214	1294	1156	1357	1984	676	604	734	1264	1717	1323	503	676	1149	944	518	1012	813	1035	1260	564	244	302	858	1651	368	507	824	1003	2214	535	953	283	496	234	583	1802	741	701	2679	1515	1036	1071	595	953	453	1739	1581	11	14	22	28	1302	1580	1974	310	2314	992	429	2397	1134	3180	697	7	11	963	268
"OTU10"	0	0	0	0	772	927	1169	188	668	230	561	198	1665	2008	746	133	459	1223	1183	499	309	506	1293	2744	89	125	115	562	138	303	30	13	496	751	0	0	0	0	22	63	71	88	17	11	0	0	369	150	569	460	632	271	200	70	1207	171	672	375	1107	804	231	522	384	161	135	149	5680	1	7	0	6	6	0	3	0	251	352	75	403	74	114	17	0	0	7	346	743	40	5	61	67	18	0	26	0	11	45	233	297	54	134	66	212	62	0	23	68	52	89	58	27	121	27	0	39	0	22	34	98	48	0	0	1	1	0	0	0	38	0	100	0	159	0	0	0	13	144	0	0	0	0
"OTU65"	5	195	0	0	0	0	0	0	0	0	0	8	0	0	9	0	0	0	0	32	4	0	0	0	11	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	39	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	2	0	0	0	3	1	0	0	0	2	17	0	0	0	0	12	0	6	9	16	21	0	0	93	22	0	0	0	3	0	1	0	0	9	1	0	2	0	0	5	0	0	0	0	0	0	0	0	0	10	0	2	0	9	0	0	0	0	0	0	19	0	8	0	0	1	0	127	0	0	0	0	0
"OTU58"	0	0	0	0	504	144	1007	707	0	0	276	232	166	126	17	19	41	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	32	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU88"	0	0	0	0	0	0	0	13	0	0	0	0	11	0	13	0	0	40	0	0	0	0	0	0	0	25	6	43	6	3	0	0	25	7	0	0	0	0	0	0	44	19	0	0	0	0	32	5	428	248	680	315	85	172	1079	182	840	153	9	7	32	0	14	0	15	0	28	3	0	3	16	0	0	1	0	798	536	23	50	15	5	0	0	0	0	69	87	69	176	298	513	59	78	141	103	42	534	215	24	0	31	79	80	0	0	15	36	63	27	552	661	255	226	0	0	18	17	350	71	537	0	0	0	0	0	0	0	0	0	161	0	542	4	0	13	0	260	0	0	0	0
"OTU54"	30	26	0	0	7	2	30	9	41	28	5	14	0	20	0	8	2	21	9	38	24	38	17	15	12	11	8	3	22	22	9	0	0	5	0	1	100	29	14	0	10	12	50	22	27	28	6	6	24	40	17	30	0	33	0	0	25	0	45	2	20	0	19	1	20	38	17	2	15	1	1	2	0	2	1	36	0	7	0	12	5	12	30	79	28	9	10	14	0	9	39	8	18	13	21	7	1	23	21	12	14	32	0	31	0	25	0	15	10	14	0	16	0	43	23	11	0	36	25	0	59	82	0	1	2	1	31	327	28	0	58	6	0	25	33	24	6	0	0	25	6
"OTU5"	0	3	0	0	679	992	420	124	1149	82	245	337	433	547	549	60	195	211	322	173	98	56	298	420	595	565	140	424	202	392	33	80	297	365	0	0	0	0	299	323	329	317	236	115	84	70	441	367	1181	1732	601	367	351	491	1206	307	957	344	4975	4574	586	498	1593	598	293	403	5912	129	142	17	77	5	20	1	3	3442	2045	1857	2551	567	263	277	626	260	241	1881	2514	665	306	368	517	165	104	264	59	24	481	569	3202	334	379	86	926	489	39	80	642	587	291	575	946	195	109	97	38	20	49	178	1378	289	0	0	0	0	0	0	0	0	0	464	0	2258	41	249	16	99	2021	0	0	0	0
"OTU27"	0	0	0	0	36	80	60	13	315	0	101	0	285	192	36	0	41	94	0	0	22	48	170	229	47	37	36	161	31	36	0	24	226	137	0	0	0	0	14	0	42	37	0	0	0	0	137	56	235	302	335	188	40	59	467	134	365	121	176	53	18	0	14	26	0	0	152	30	16	8	13	6	3	0	0	598	467	31	47	12	14	0	0	38	78	52	134	36	75	168	288	5	10	51	53	41	155	324	66	0	18	27	50	0	0	0	14	31	37	214	182	122	62	0	29	8	31	188	77	157	0	0	0	0	0	0	0	0	0	123	0	379	1	32	1	0	206	0	0	0	0
