"#OTU_ID"	"EXPERIMENT_1_T_AU_031_1"	"EXPERIMENT_1_T_AU_031_2"	"EXPERIMENT_1_T_B1"	"EXPERIMENT_1_T_B2"	"EXPERIMENT_1_T_CH_001_1"	"EXPERIMENT_1_T_CH_001_2"	"EXPERIMENT_1_T_DE_001_1"	"EXPERIMENT_1_T_DE_001_2"	"EXPERIMENT_1_T_ES_004_1"	"EXPERIMENT_1_T_ES_004_2"	"EXPERIMENT_1_T_FR_072_1"	"EXPERIMENT_1_T_FR_072_2"	"EXPERIMENT_1_T_FR_083_1"	"EXPERIMENT_1_T_FR_083_2"	"EXPERIMENT_1_T_FR_123_1"	"EXPERIMENT_1_T_FR_123_2"	"EXPERIMENT_1_T_G1"	"EXPERIMENT_1_T_G2"	"EXPERIMENT_1_T_GB_003_1"	"EXPERIMENT_1_T_GB_003_2"	"EXPERIMENT_1_T_GB_093_1"	"EXPERIMENT_1_T_GB_093_2"	"EXPERIMENT_1_T_HU_012_1"	"EXPERIMENT_1_T_HU_012_2"	"EXPERIMENT_1_T_IN_030_1"	"EXPERIMENT_1_T_IN_030_2"	"EXPERIMENT_1_T_IT_048_1"	"EXPERIMENT_1_T_IT_048_2"	"EXPERIMENT_1_T_JP_002_1"	"EXPERIMENT_1_T_JP_002_2"	"EXPERIMENT_1_T_KE_008_A1"	"EXPERIMENT_1_T_KE_008_A2"	"EXPERIMENT_1_T_KE_008_A3"	"EXPERIMENT_1_T_KE_008_A4"	"EXPERIMENT_1_T_KE_008_B1"	"EXPERIMENT_1_T_KE_008_B2"	"EXPERIMENT_1_T_KE_008_B3"	"EXPERIMENT_1_T_KE_008_B4"	"EXPERIMENT_1_T_KE_008_C1"	"EXPERIMENT_1_T_KE_008_C2"	"EXPERIMENT_1_T_KE_008_C3"	"EXPERIMENT_1_T_KE_008_C4"	"EXPERIMENT_1_T_MG_002_1"	"EXPERIMENT_1_T_MG_002_2"	"EXPERIMENT_1_T_Neg_PCRI_1"	"EXPERIMENT_1_T_Neg_PCRI_2"	"EXPERIMENT_1_T_NO_385_1"	"EXPERIMENT_1_T_NO_385_2"	"EXPERIMENT_1_T_NO_386_1"	"EXPERIMENT_1_T_NO_386_2"	"EXPERIMENT_1_T_NZ_030_1"	"EXPERIMENT_1_T_NZ_030_2"	"EXPERIMENT_1_T_PL_010_A1"	"EXPERIMENT_1_T_PL_010_A2"	"EXPERIMENT_1_T_PL_010_A3"	"EXPERIMENT_1_T_PL_010_A4"	"EXPERIMENT_1_T_PL_010_B1"	"EXPERIMENT_1_T_PL_010_B2"	"EXPERIMENT_1_T_PL_010_B3"	"EXPERIMENT_1_T_PL_010_B4"	"EXPERIMENT_1_T_PL_010_C1"	"EXPERIMENT_1_T_PL_010_C2"	"EXPERIMENT_1_T_PL_010_C3"	"EXPERIMENT_1_T_PL_010_C4"	"EXPERIMENT_1_T_PL_014_1"	"EXPERIMENT_1_T_PL_014_2"	"EXPERIMENT_1_T_PL_015_A1"	"EXPERIMENT_1_T_PL_015_A2"	"EXPERIMENT_1_T_PL_015_A3"	"EXPERIMENT_1_T_PL_015_A4"	"EXPERIMENT_1_T_PL_015_B1"	"EXPERIMENT_1_T_PL_015_B2"	"EXPERIMENT_1_T_PL_015_B3"	"EXPERIMENT_1_T_PL_015_B4"	"EXPERIMENT_1_T_PL_015_C1"	"EXPERIMENT_1_T_PL_015_C2"	"EXPERIMENT_1_T_PL_015_C3"	"EXPERIMENT_1_T_PL_015_C4"	"EXPERIMENT_1_T_PL_016_1"	"EXPERIMENT_1_T_PL_016_2"	"EXPERIMENT_1_T_PL_018_1"	"EXPERIMENT_1_T_PL_018_2"	"EXPERIMENT_1_T_PL_110_1"	"EXPERIMENT_1_T_PL_110_2"	"EXPERIMENT_1_T_PL_247_1"	"EXPERIMENT_1_T_PL_247_2"	"EXPERIMENT_1_T_PL_318_1"	"EXPERIMENT_1_T_PL_318_2"	"EXPERIMENT_1_T_PT_006_1"	"EXPERIMENT_1_T_PT_006_2"	"EXPERIMENT_1_T_PT_008_1"	"EXPERIMENT_1_T_PT_008_2"	"EXPERIMENT_1_T_PT_035_1"	"EXPERIMENT_1_T_PT_035_2"	"EXPERIMENT_1_T_PT_056_1"	"EXPERIMENT_1_T_PT_056_2"	"EXPERIMENT_1_T_r1"	"EXPERIMENT_1_T_r2"	"EXPERIMENT_1_T_RU_017_1"	"EXPERIMENT_1_T_RU_017_2"	"EXPERIMENT_1_T_SK_003_1"	"EXPERIMENT_1_T_SK_003_2"	"EXPERIMENT_1_T_VN_036_1"	"EXPERIMENT_1_T_VN_036_2"	"EXPERIMENT_1_TZ_blank_LB_Z"	"EXPERIMENT_1_TZ_G1_Z"	"EXPERIMENT_1_TZ_G2_Z"	"EXPERIMENT_1_TZ_KE_008_A1"	"EXPERIMENT_1_TZ_KE_008_A2"	"EXPERIMENT_1_TZ_KE_008_A3"	"EXPERIMENT_1_TZ_KE_008_A4"	"EXPERIMENT_1_TZ_KE_008_B1"	"EXPERIMENT_1_TZ_KE_008_B2"	"EXPERIMENT_1_TZ_KE_008_B3"	"EXPERIMENT_1_TZ_KE_008_B4"	"EXPERIMENT_1_TZ_KE_008_C1"	"EXPERIMENT_1_TZ_KE_008_C2"	"EXPERIMENT_1_TZ_KE_008_C3"	"EXPERIMENT_1_TZ_KE_008_C4"	"EXPERIMENT_1_TZ_Neg_PCRI"	"EXPERIMENT_1_TZ_PL_010_A1"	"EXPERIMENT_1_TZ_PL_010_A2"	"EXPERIMENT_1_TZ_PL_010_A3"	"EXPERIMENT_1_TZ_PL_010_A4"	"EXPERIMENT_1_TZ_PL_010_B1"	"EXPERIMENT_1_TZ_PL_010_B2"	"EXPERIMENT_1_TZ_PL_010_B3"	"EXPERIMENT_1_TZ_PL_010_B4"	"EXPERIMENT_1_TZ_PL_010_C1"	"EXPERIMENT_1_TZ_PL_010_C2"	"EXPERIMENT_1_TZ_PL_010_C3"	"EXPERIMENT_1_TZ_PL_010_C4"	"EXPERIMENT_1_TZ_PL_015_A1"	"EXPERIMENT_1_TZ_PL_015_A2"	"EXPERIMENT_1_TZ_PL_015_A3"	"EXPERIMENT_1_TZ_PL_015_A4"	"EXPERIMENT_1_TZ_PL_015_B1"	"EXPERIMENT_1_TZ_PL_015_B2"	"EXPERIMENT_1_TZ_PL_015_B3"	"EXPERIMENT_1_TZ_PL_015_B4"	"EXPERIMENT_1_TZ_PL_015_C1"	"EXPERIMENT_1_TZ_PL_015_C2"	"EXPERIMENT_1_TZ_PL_015_C3"	"EXPERIMENT_1_TZ_PL_015_C4"	"EXPERIMENT_1_TZ_r1_Z"	"EXPERIMENT_1_TZ_r2_Z"
"Zotu65"	110	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	41	6	471	162	5	416	684	262	155	50	1	19	4	55	14	0	0	0	135	0	0	49	1113	0	0	0	2	0	0	31	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	19	0	1	360	181	0	23	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	45	0	0	271	12	26	0	245	0	0	0	5	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu2"	504	696	1068	841	867	886	424	483	2350	2288	587	183	837	603	1182	438	9	10	160	149	28	29	1849	0	1384	408	2954	777	1593	464	71	964	906	201	1031	466	1508	885	1030	180	870	15	1232	827	272	748	1672	1000	947	1174	1310	395	1684	1647	2640	768	901	1969	1019	469	537	1510	1399	335	351	1391	141	95	10	37	48	230	74	25	1282	3885	1852	1390	1064	953	1580	960	961	567	790	452	855	491	689	576	1000	1264	2018	1057	309	577	12	15	4	36	1057	1604	6	9	80	35	16	117	118	58	38	73	91	84	130	43	51	9	59	168	52	43	47	30	128	158	121	74	189	142	153	72	94	132	157	113	175	116	220	82	26	25	71	39	44	38
"Zotu91"	197	102	17	0	10	0	7	0	639	0	0	2	51	73	33	13	0	1	22	0	1	0	213	0	20	68	26	361	164	31	3	0	8	14	424	0	868	35	31	138	369	0	39	67	8	0	459	22	72	580	109	16	0	82	121	20	0	128	15	80	319	333	98	17	400	33	0	6	0	0	13	52	8	1	22	0	54	32	27	445	93	13	437	0	13	46	0	118	19	0	62	29	23	0	6	0	0	3	0	3	9	83	0	0	13	5	4	0	12	0	1	20	0	49	12	4	1	3	7	20	13	2	5	12	46	42	34	2	5	3	72	1	74	45	45	0	2	6	4	4	13	5	15	0	0	0
"Zotu39"	69	18	0	0	10	23	0	0	58	70	0	3	71	0	652	70	2	0	2	0	0	0	239	0	0	0	53	0	66	15	432	220	61	162	26	2	81	0	90	5	139	0	916	112	0	0	29	0	543	391	1273	90	32	27	41	12	52	0	8	0	51	57	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	53	0	86	0	0	0	8	0	103	0	62	0	177	862	38	176	0	0	0	0	34	0	0	0	0	8	6	12	0	13	2	8	4	11	0	3	1	2	0	0	10	1	27	1	77	19	3	0	38	13	13	0	7	76	3	0	26	31	52	14	2	7	0	14	816	363
"Zotu37"	734	238	0	0	765	72	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	118	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	93	0	0	0	1	33	0	261	26	0	0	0	0	0	34	44	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	37	0	0	36	0	0	0	0	0	0	0	0	0	0	20	0	334	61	0	0	0	0	0	0	0	0	648	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	16	2	1	6	8	6	0	0	43	28	0	10	26	27	34	37	1	3	8	10	0	0
"Zotu397"	7	0	0	0	13	0	5	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	22	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	187	0	7	17	0	0	0	0	0	12	0	36	0	21	0	0	55	5	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	29	0	32	0	0	0	0	0	21	209	7	14	20	0	0	0	0	20	0	5	0	0	0	0	0	0	32	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	2
"Zotu29"	172	68	0	0	204	17	198	268	266	70	0	0	24	0	23	13	8	16	0	17	0	4	27	0	87	83	578	763	344	135	84	85	23	6	0	0	0	31	207	12	319	0	787	364	0	0	31	857	55	31	529	30	0	0	0	41	64	45	34	69	133	59	60	6	3	158	0	0	1	0	0	0	1	0	13	205	0	22	63	78	0	22	72	18	0	61	6	26	523	156	187	53	42	106	14	80	0	0	0	0	242	34	1	2	0	7	0	25	11	4	90	0	7	0	30	24	22	7	65	0	10	2	30	7	25	19	18	57	29	21	77	117	113	73	12	149	68	13	70	49	7	6	1	5	0	0
"Zotu10"	220	111	0	0	21	0	623	407	0	0	0	0	30	7	21	0	9	10	0	14	0	0	83	0	17	0	838	1142	26	61	152	115	49	50	33	49	383	13	19	0	47	0	1255	752	0	0	101	421	52	28	835	63	0	0	47	14	24	0	0	62	174	58	86	6	0	63	0	0	0	0	0	0	0	0	0	0	0	0	13	22	0	0	19	6	306	324	0	8	17	14	48	0	16	0	12	118	0	0	0	2	0	0	1	1	0	0	0	0	0	2	9	3	4	0	0	0	0	1	1	0	24	7	29	1	48	62	48	68	121	93	153	324	10	80	4	0	5	11	40	0	2	0	0	0	0	0
"Zotu404"	11	17	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	32	15	0	8	0	0	0	0	5	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	10	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	15	0	0	0	0	0	0	0	0	6	134	0	0	0	0	0	0	0
"Zotu68"	63	88	122	104	84	121	42	64	318	228	52	18	99	74	93	41	1	1	22	10	0	4	89	0	172	48	213	53	317	44	5	101	72	39	69	37	177	117	62	14	119	8	146	74	39	124	314	72	109	147	178	63	299	173	161	48	56	147	113	41	101	180	128	31	39	100	5	16	1	0	8	31	8	1	154	619	192	102	64	100	80	81	85	63	116	20	88	58	393	58	85	122	338	121	15	59	0	4	0	6	123	140	0	0	3	4	2	14	16	14	11	16	5	10	19	6	1	1	2	4	12	2	2	4	15	14	14	4	36	19	22	8	10	14	18	12	12	12	20	8	4	1	10	4	9	0
"Zotu5"	51	34	0	0	59	0	1486	746	68	2	0	0	126	194	60	8	0	0	0	4	3	7	106	0	602	59	400	496	291	63	134	205	125	57	298	225	359	14	740	110	1653	0	436	105	0	0	32	516	395	112	1732	384	41	0	54	275	76	133	97	43	4250	355	192	33	31	0	0	1	1	0	2	0	0	0	0	87	2	110	126	39	118	81	402	152	390	290	36	13	636	58	27	0	79	23	36	32	0	0	0	2	104	0	0	0	0	0	0	67	27	56	37	58	55	5	215	56	78	26	400	0	94	57	303	84	554	286	149	44	389	3498	425	967	86	721	16	23	87	67	406	14	9	29	0	58	0	0
