"#OTU_ID"	"EXPERIMENT_3_T_A01"	"EXPERIMENT_3_T_A02"	"EXPERIMENT_3_T_A03"	"EXPERIMENT_3_T_A04"	"EXPERIMENT_3_T_A05"	"EXPERIMENT_3_T_A06"	"EXPERIMENT_3_T_A07"	"EXPERIMENT_3_T_A08"	"EXPERIMENT_3_T_A09"	"EXPERIMENT_3_T_A10"	"EXPERIMENT_3_T_B01"	"EXPERIMENT_3_T_B02"	"EXPERIMENT_3_T_B03"	"EXPERIMENT_3_T_B04"	"EXPERIMENT_3_T_B05"	"EXPERIMENT_3_T_B06"	"EXPERIMENT_3_T_B07"	"EXPERIMENT_3_T_B08"	"EXPERIMENT_3_T_B09"	"EXPERIMENT_3_T_B10"	"EXPERIMENT_3_T_C01"	"EXPERIMENT_3_T_C02"	"EXPERIMENT_3_T_C03"	"EXPERIMENT_3_T_C04"	"EXPERIMENT_3_T_C05"	"EXPERIMENT_3_T_C06"	"EXPERIMENT_3_T_C07"	"EXPERIMENT_3_T_C08"	"EXPERIMENT_3_T_C09"	"EXPERIMENT_3_T_C10"	"EXPERIMENT_3_T_D01"	"EXPERIMENT_3_T_D02"	"EXPERIMENT_3_T_D03"	"EXPERIMENT_3_T_D04"	"EXPERIMENT_3_T_D05"	"EXPERIMENT_3_T_D06"	"EXPERIMENT_3_T_D07"	"EXPERIMENT_3_T_D08"	"EXPERIMENT_3_T_D09"	"EXPERIMENT_3_T_D10"	"EXPERIMENT_3_T_E01"	"EXPERIMENT_3_T_E02"	"EXPERIMENT_3_T_E03"	"EXPERIMENT_3_T_E04"	"EXPERIMENT_3_T_E05"	"EXPERIMENT_3_T_E06"	"EXPERIMENT_3_T_E07"	"EXPERIMENT_3_T_E08"	"EXPERIMENT_3_T_E09"	"EXPERIMENT_3_T_E10"	"EXPERIMENT_3_T_F01"	"EXPERIMENT_3_T_F02"	"EXPERIMENT_3_T_F03"	"EXPERIMENT_3_T_F04"	"EXPERIMENT_3_T_F05"	"EXPERIMENT_3_T_F06"	"EXPERIMENT_3_T_F07"	"EXPERIMENT_3_T_F08"	"EXPERIMENT_3_T_F09"	"EXPERIMENT_3_T_F10"	"EXPERIMENT_3_T_KN_hom1"	"EXPERIMENT_3_T_KN_hom2"	"EXPERIMENT_3_T_KN_hom_pl1"	"EXPERIMENT_3_T_KN_hom_pl2"	"EXPERIMENT_3_T_Neg_PCR"
"Zotu65"	44	85	484	25	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	3	0	0	0	0	15	0	12	9	167	117	237	271	0	0	0	0	0	0	0	0	19	16	15	0	136	65	48	70	0	0	0	0	0	0	0	0	0	0	0
"Zotu2"	142	399	283	104	467	385	479	496	191	453	341	973	105	731	90	132	72	248	110	67	310	80	61	35	235	273	217	186	481	335	800	885	256	211	293	425	190	245	725	428	180	200	919	1024	385	340	1001	646	382	296	709	347	450	234	7	5	3	4	488	441	270	367	547	586	1338
"Zotu91"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu39"	702	91	454	947	52	2102	1	1	3	0	0	0	60	0	16	3	8	34	0	0	0	3	0	0	9	10	2	7	0	10	0	60	60	64	0	0	0	5	12	0	2	5	85	0	24	95	136	50	0	153	198	54	0	159	1	0	0	0	0	0	0	0	0	0	0
"Zotu37"	16	0	20	109	10	293	0	21	0	60	0	10	141	53	28	46	69	148	0	0	0	0	0	0	0	0	64	128	120	252	0	0	1	0	0	24	112	108	29	14	14	59	0	0	0	0	0	0	0	5	205	61	9	336	0	0	0	0	0	0	0	0	0	0	0
"Zotu397"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu29"	1228	787	520	642	14	470	15	59	14	37	0	119	86	94	34	50	77	62	42	64	30	48	3	4	44	66	19	28	94	125	10	136	217	236	7	46	476	484	60	34	35	70	192	0	11	272	161	27	21	175	177	77	65	370	0	0	2	0	0	0	0	0	0	0	0
"Zotu10"	495	2698	888	722	103	660	59	333	0	169	6	238	21	0	8	1	1	4	12	18	5	4	1	4	46	49	290	502	881	1177	243	166	1188	1225	0	70	643	601	698	172	255	373	700	55	314	1394	405	153	165	1053	183	13	28	244	0	0	2	2	0	0	0	0	0	0	0
"Zotu404"	0	0	1	0	0	0	17	8	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	12	0	20	0	1	0	0	0	0	0	0	26	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu68"	2	25	13	0	32	7	31	0	11	32	10	23	5	19	3	1	5	7	1	2	0	19	0	3	10	11	6	7	3	6	33	13	7	13	12	16	12	2	19	14	1	7	6	0	2	22	0	25	6	18	31	25	0	0	0	0	1	1	55	0	3	25	31	33	16
"Zotu5"	80	1183	39	39	97	82	11	85	16	82	0	10	336	155	119	225	187	358	6	13	0	10	52	32	310	580	408	399	551	856	104	388	950	529	77	170	476	534	616	198	112	148	241	55	78	302	1364	597	422	3517	295	155	15	723	0	0	0	0	0	0	0	0	0	0	0
"Zotu739"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu24"	855	191	30	49	25	41	0	5	0	0	6	0	2	0	0	6	2	6	93	10	0	8	44	29	157	376	5	2	15	12	356	309	2796	2837	0	0	1	0	9	2	7	20	0	0	1	0	24	7	0	52	0	47	0	66	72	75	1	0	0	0	18	0	0	0	0
"Zotu338"	0	0	0	0	0	7	0	0	0	0	5	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	5	0	4	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
"Zotu749"	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"Zotu155"	94	0	45	62	0	28	0	0	0	0	0	0	2	0	1	41	0	0	1	0	0	0	26	1	2	0	31	0	4	15	0	0	10	5	23	21	17	47	0	0	0	0	42	24	61	73	0	0	8	4	1	0	7	15	71	33	0	0	0	0	0	0	0	0	0
"Zotu106"	0	85	0	0	0	25	17	13	0	1	0	0	4	0	10	0	10	10	0	0	0	0	2	1	11	9	7	15	16	17	16	0	33	43	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	48	6	7	8	0	0	0	0	0	0	0	0	0	0	0
"Zotu15"	54	50	10	74	0	504	0	33	0	114	0	69	23	108	13	33	8	20	18	23	19	11	5	0	11	26	27	30	93	107	0	0	0	0	8	24	597	443	74	0	43	49	0	0	48	9	10	26	1106	626	2	11	84	37	1448	1167	0	0	0	0	0	0	0	0	0
"Zotu468"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	28	194	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu138"	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	86	8	172	65	3	11	5	4	20	20	25	6	10	14	6	11	70	21	0	4	8	2	31	51	41	31	13	0	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zotu145"	7	17	3	11	0	20	0	3	0	12	0	0	13	17	1	2	0	2	0	4	9	0	0	0	10	0	0	1	0	5	0	0	0	3	0	0	10	6	0	0	0	0	0	0	0	3	0	1	56	22	0	0	10	0	52	33	0	1	0	0	0	0	0	0	0
"Zotu761"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
